# {"no_nexus": false, "pause": false, "bindir": "/tmp/build/nexus-bin", "maxb": 8, "debug": false, "latencies": "/workdir/DynWork/Multimodal/WorldCup/incoming_rate_72.73/Equal_Std/std_2/latencies.csv", "reqs": "/workdir/DynWork/Multimodal/WorldCup/incoming_rate_72.73/Equal_Std/std_2/jobs.bucketed.csv", "image": "Chihuahua1_bvdb.jpg", "slo_ms": 335, "outdir": "/workdir/DynWork/Multimodal/WorldCup/incoming_rate_72.73/Equal_Std/std_2/4_x_P99/nexus", "reproducibility": {"command_line": "python dynamic_test.py --slo_ms 335 --maxb 8 --bindir /tmp/build/nexus-bin Chihuahua1_bvdb.jpg /workdir/DynWork/Multimodal/WorldCup/incoming_rate_72.73/Equal_Std/std_2/jobs.bucketed.csv /workdir/DynWork/Multimodal/WorldCup/incoming_rate_72.73/Equal_Std/std_2/latencies.csv /workdir/DynWork/Multimodal/WorldCup/incoming_rate_72.73/Equal_Std/std_2/4_x_P99/nexus", "time": "Mon Mar 28 04:14:10 2022", "git_root": "/workdir/nexus", "git_url": "https://github.com/Aetf/nexus/tree/660705b33cdfaa936d8aa5d1e41166826dbfe4e7", "git_has_uncommitted_changes": false}}
JobId,Length,Admitted,Started,Finished,Latency,State,EName
0,47.56449807304922,0.0,2.7064740359783173,58.81847403597832,56.112,done,
1,72.50058571011144,54.99999999999999,58.34253600239754,141.54553600239754,83.203,done,
2,41.19552048302791,110.0,113.92821303009988,183.0352130300999,69.107,done,
3,45.05712730619189,164.99999999999997,170.1335709989071,228.72057099890708,58.587,done,
4,48.06403109516522,220.0,225.519622027874,287.313622027874,61.794,done,
5,82.44543794346649,274.99999999999994,281.2806450128556,369.81764501285556,88.537,done,
6,75.48646803202519,329.99999999999994,336.8898660242557,445.4918660242557,108.602,done,
7,78.47598625616776,385.0,392.42461800575256,544.5776180057526,152.153,done,
8,42.02987096238436,412.5,420.424978017807,544.473978017807,124.049,done,
9,33.01640351366149,440.0,449.0731469988823,621.7101469988822,172.637,done,
10,50.36689117240351,467.5,476.8780370056629,621.7000370056629,144.822,done,
11,34.82624722108293,495.0,504.9793400168419,621.8783400168419,116.899,done,
12,62.71098531162525,522.4999999999999,533.2837029993534,727.1467029993535,193.863,done,
13,69.36300627920197,549.9999999999999,561.2830310165882,727.4660310165882,166.183,done,
14,41.419098213239,577.4999999999999,589.3275139927864,727.9415139927864,138.614,done,
15,71.14748345151159,604.9999999999999,617.3599930405617,853.9249930405617,236.565,done,
16,43.84286898646421,632.4999999999999,673.6955710053444,854.6105710053444,180.915,done,
17,46.38912813871989,659.9999999999999,786.1328530311584,1002.8288530311585,216.696,done,
18,38.68111516812793,687.4999999999999,645.6962659955025,854.4202659955024,208.724,done,
19,44.45001470955635,714.9999999999999,701.53936201334,854.87636201334,153.337,done,
20,44.06058466930418,742.4999999999999,730.0975820124149,1002.8965820124149,272.799,done,
21,72.75813328609645,769.9999999999999,758.097139030695,1003.052139030695,244.955,done,
22,44.65586823900912,797.4999999999999,814.086993008852,1002.821993008852,188.735,done,
23,36.250825452925234,824.9999999999999,842.3993060290813,1002.8623060290813,160.463,done,
24,66.12750833321009,838.7499999999999,856.9287340044975,1210.5647340044975,353.636,done,
25,67.01528811915024,852.4999999999999,871.6746889948845,1210.6046889948846,338.93,done,
26,73.31417921591569,866.2499999999999,1144.474282026291,1624.9192820262908,480.445,error,
27,70.47682495827476,879.9999999999999,1178.2771919965744,1625.9791919965744,447.702,error,
28,43.269122726637896,889.1666666666665,886.5825090110302,1210.5765090110303,323.994,done,
29,69.60824498027546,898.3333333333333,901.612034022808,1210.693034022808,309.081,done,
30,72.27051820840205,907.5,912.815699994564,1210.720699994564,297.905,done,
31,69.79698711814704,916.6666666666664,924.1800910234452,1211.4110910234454,287.231,done,
32,74.82003929302182,925.8333333333331,934.8398619890212,1211.213861989021,276.374,done,
33,40.99920358183603,935.0,945.8248140215874,1211.4068140215873,265.582,done,
34,32.210219977235234,941.875,956.9568290114404,1421.9708290114404,465.014,done,
35,74.18928662730129,948.75,968.0133780241011,1423.2673780241012,455.254,done,
36,66.78506732778344,955.625,1327.7465400099754,1841.9925400099755,514.246,done,
37,68.0522322002698,962.5,1334.6233650147915,1842.0423650147914,507.419,done,
38,50.09876219540043,969.375,1360.6652590036392,1842.6722590036393,482.007,error,
39,73.03925162259975,976.25,1404.043106019497,1843.1341060194968,439.091,error,
40,65.70980428652132,983.125,1412.910893023014,1843.2828930230141,430.372,error,
41,32.588020015542504,990.0,975.9785729944706,1422.3415729944707,446.363,done,
42,43.07101950338205,997.8571428571428,983.3804639875888,1422.6574639875887,439.277,done,
43,60.09553449390477,1005.7142857142856,990.6736310124396,1423.2246310124397,432.551,done,
44,47.33974188810457,1013.5714285714284,998.0532689988612,1424.0912689988613,426.038,done,
45,46.15717719416695,1021.4285714285712,1005.1444820165634,1424.2324820165634,419.088,done,
46,73.881756699306,1029.285714285714,1012.8181750178336,1424.6701750178336,411.852,done,
47,37.995104605306935,1037.1428571428569,1020.3701069951056,1425.2291069951057,404.859,error,
48,59.295889431835,1044.9999999999998,1027.825516998768,1424.6605169987681,396.835,error,
49,71.57450357543718,1051.1111111111109,1036.4319060146809,1424.6469060146808,388.215,error,
50,31.772145626720743,1057.222222222222,1045.2546350359917,1424.6266350359917,379.372,error,
51,31.246436120807083,1063.333333333333,1054.3060230016708,1424.6460230016708,370.34,error,
52,54.34605291664407,1069.444444444444,1062.4465119838717,1425.0855119838716,362.639,error,
53,44.26288280441739,1075.5555555555554,1071.322706013918,1424.749706013918,353.427,error,
54,60.851277396782805,1081.6666666666663,1079.821799993515,1425.072799993515,345.251,error,
55,48.550210181197215,1087.7777777777776,1088.227847993374,1624.4748479933742,536.247,done,
56,79.06312510749116,1093.8888888888887,1095.2260250151155,1624.2300250151156,529.004,done,
57,70.91670584445865,1099.9999999999998,1486.484719991684,1843.7117199916838,357.227,error,
58,58.42043876602175,1106.1111111111109,1497.7789630293846,1843.9559630293847,346.177,error,
59,49.58880862769206,1112.222222222222,1596.142138004303,2087.577138004303,491.435,error,
60,55.62462419324413,1118.333333333333,1606.9594250023365,2087.6684250023363,480.709,error,
61,54.02785731678186,1124.444444444444,1102.585146009922,1624.366146009922,521.781,done,
62,37.286140714395145,1130.5555555555554,1109.4960700273514,1624.8930700273513,515.397,done,
63,73.57154124413738,1136.6666666666663,1116.3829510211945,1624.6489510211945,508.266,done,
64,66.33394094209667,1142.7777777777776,1122.9858990311625,1624.9468990311625,501.961,done,
65,68.7042676722863,1148.8888888888887,1130.0938180088997,1625.3998180088997,495.306,done,
66,35.39189356793885,1154.9999999999998,1137.312480032444,1625.340480032444,488.028,done,
67,62.072262042428754,1160.4999999999998,1151.5989370048046,1625.2419370048046,473.643,error,
68,64.04611417481605,1165.9999999999998,1158.1631760001185,1625.7761760001185,467.613,error,
69,65.50829565453077,1171.4999999999998,1165.3657590150833,1625.7757590150834,460.41,error,
70,57.77001519745832,1176.9999999999998,1171.8674080073831,1626.0164080073832,454.149,error,
71,42.86167299545977,1182.4999999999998,1184.9862800240517,1625.9062800240517,440.92,error,
72,68.48979378025868,1187.9999999999998,1191.43781799078,1626.5108179907802,435.073,error,
73,40.16493336968492,1193.4999999999998,1198.312292009592,1626.354292009592,428.042,error,
74,53.07806491365962,1198.9999999999998,1204.725646018982,1626.121646018982,421.396,error,
75,80.46798427788814,1204.4999999999998,1211.5325790047646,1626.4955790047645,414.963,error,
76,51.567577444084,1209.9999999999998,1217.396409034729,1626.870409034729,409.474,error,
77,75.85540203929698,1216.1111111111109,1223.3198519945145,1626.9708519945145,403.651,error,
78,78.01066416766157,1222.222222222222,1229.2920500040054,1627.1060500040055,397.814,error,
79,40.58298393521629,1228.333333333333,1235.1090650260448,1627.0220650260449,391.913,error,
80,38.20827057364296,1234.444444444444,1241.2777360081673,1627.0787360081672,385.801,error,
81,45.94269470103856,1240.5555555555554,1247.3135380148888,1627.2155380148888,379.902,error,
82,49.072073968646926,1246.6666666666663,1253.3791740238669,1627.1341740238668,373.755,error,
83,76.20328295513896,1252.7777777777776,1259.539754033089,1627.0527540330888,367.513,error,
84,67.42037698657444,1258.8888888888887,1266.206719994545,1627.333719994545,361.127,error,
85,37.53866988729347,1264.9999999999998,1272.479219019413,1627.515219019413,355.036,error,
86,41.82841192103682,1272.857142857143,1279.3257150053978,1627.4247150053977,348.099,error,
87,59.54758724630063,1280.7142857142856,1286.5132540166378,1627.8502540166378,341.337,error,
88,100.0,1288.5714285714284,1293.360220015049,1842.397220015049,549.037,done,
89,74.48544690902396,1296.428571428571,1300.3002890050411,1840.980289005041,540.68,done,
90,33.39194774632021,1304.285714285714,1805.635280996561,2289.7882809965613,484.153,done,
91,53.36655483244361,1312.1428571428569,1816.9330140054224,2289.9990140054224,473.066,done,
92,34.15000953961631,1319.9999999999998,1828.2919960021973,2289.967996002197,461.676,done,
93,25.436516820646524,1327.857142857143,1839.942093014717,2290.312093014717,450.37,done,
94,44.86315854945974,1335.7142857142856,1307.081117004156,1841.165117004156,534.084,done,
95,38.4514145348502,1343.5714285714284,1313.988615989685,1841.572615989685,527.584,done,
96,36.51601534557825,1351.428571428571,1321.0630530118942,1842.4870530118942,521.424,done,
97,52.45410426181567,1359.285714285714,1343.5925080180168,1843.1395080180168,499.547,done,
98,63.6153773511531,1367.1428571428569,1352.3296840190887,1842.2466840190887,489.917,error,
99,76.59261678404212,1374.9999999999998,1369.6282700300217,1842.8112700300217,473.183,error,
