BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
0,0,0,0,22.813,30.531,12
0,0,0,1,30.531,38.25,26
0,0,0,2,38.25,45.969,10
0,0,0,3,45.969,53.688,0
0,0,0,4,53.688,61.406,2
0,0,0,5,61.406,69.125,10
0,0,0,6,69.125,76.844,20
0,0,0,7,76.844,84.563,10
0,0,0,8,84.563,92.281,1
0,0,0,9,92.281,100.077,1
1,0,0,0,10.0,17.563,1
1,0,0,1,17.563,25.126,3
1,0,0,2,25.126,32.69,14
1,0,0,3,32.69,40.253,20
1,0,0,4,40.253,47.816,12
1,0,0,5,47.816,55.379,2
1,0,0,6,55.379,62.943,3
1,0,0,7,62.943,70.506,18
1,0,0,8,70.506,78.069,23
1,0,0,9,78.069,85.708,12
