BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
0,0,0,0,33.84,40.456,6
0,0,0,1,40.456,47.072,5
0,0,0,2,47.072,53.688,17
0,0,0,3,53.688,60.304,12
0,0,0,4,60.304,66.92,6
0,0,0,5,66.92,73.536,3
0,0,0,6,73.536,80.152,5
0,0,0,7,80.152,86.768,34
0,0,0,8,86.768,93.384,3
0,0,0,9,93.384,100.066,1
1,0,0,0,10.0,17.892,1
1,0,0,1,17.892,25.785,0
1,0,0,2,25.785,33.677,3
1,0,0,3,33.677,41.57,6
1,0,0,4,41.57,49.462,14
1,0,0,5,49.462,57.355,11
1,0,0,6,57.355,65.247,9
1,0,0,7,65.247,73.14,5
1,0,0,8,73.14,81.032,15
1,0,0,9,81.032,89.004,44
