#{"batch_latencies":"/workdir/DynWork/log/azure/LenScale_0.01/chatbot/gpt_cornell/latencies.csv","bucketing":false,"buckets":"/workdir/DynWork/log/azure/LenScale_0.01/chatbot/gpt_cornell/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/azure/LenScale_0.01/chatbot/gpt_cornell/2_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/azure/LenScale_0.01/chatbot/gpt_cornell/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":128,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,15.1987,2.60794,11.3856,30.5231,27.9151,done,
1,31.0971,25.7794,29.2587,62.0414,36.2621,done,
2,9.50865,49.228,49.2718,71.7191,22.4911,done,
3,14.2512,72.4683,72.5093,88.287,15.8187,done,
4,31.3741,95.974,96.0184,128.908,32.9344,done,
5,16.228,119.273,119.329,145.269,25.9959,done,
6,14.0685,158.26,158.291,173.923,15.6631,done,
7,36.5877,197.386,197.43,235.54,38.1549,done,
8,33.2141,236.222,236.282,271.087,34.8655,done,
9,32.1076,255.915,262.977,303.369,47.4539,done,
10,12.2858,275.261,297.498,322.886,47.6252,done,
11,19.3391,294.737,297.501,322.886,28.1491,done,
12,26.116,314.241,317.167,349.16,34.9199,done,
13,17.1819,333.731,349.166,367.915,34.1839,done,
14,28.7928,353.258,367.918,398.202,44.9435,done,
15,12.6607,369.89,394.654,413.899,44.0089,done,
16,15.4772,386.79,394.656,413.899,27.1088,done,
17,20.7074,403.698,407.565,434.851,31.1528,done,
18,27.2672,419.992,434.853,465.182,45.1906,done,
19,25.1027,437.437,461.578,506.362,68.9252,done,
20,40.9541,453.524,461.581,506.362,52.8382,done,
21,20.1946,470.305,474.485,526.705,56.4001,done,
22,13.0328,499.402,526.711,542.572,43.1693,done,
23,30.0124,528.876,542.582,574.848,45.972,done,
24,46.8571,557.965,569.321,621.91,63.9453,done,
25,50.5977,587.196,601.357,672.609,85.4131,done,
26,17.5901,610.52,645.197,694.078,83.5586,done,
27,21.2029,634.026,645.2,694.078,60.0525,done,
28,19.2602,657.321,694.08,726.931,69.61,done,
29,28.9789,680.7,694.084,726.931,46.2315,done,
30,8.19365,704.12,724.761,735.224,31.1042,done,
31,37.8599,727.541,735.233,774.593,47.0517,done,
32,13.7731,750.883,774.593,801.492,50.6086,done,
33,24.6728,774.234,774.596,801.492,27.2581,done,
34,16.173,797.637,801.498,820.987,23.3506,done,
35,21.2099,821.161,821.199,843.906,22.7451,done,
36,10.7174,850.329,850.375,862.621,12.2912,done,
37,15.481,879.589,879.626,896.616,17.0265,done,
38,9.62861,908.775,908.806,919.933,11.1579,done,
39,17.137,938.058,938.102,956.727,18.6693,done,
40,25.899,961.435,961.473,988.904,27.4697,done,
41,29.5653,984.823,988.909,1019.95,35.1247,done,
42,18.5582,1008.43,1019.95,1039.98,31.5508,done,
43,20.1391,1031.65,1039.99,1061.62,29.9657,done,
44,48.3844,1055.04,1061.63,1111.55,56.5162,done,
45,13.2581,1078.44,1081.32,1124.96,46.5134,done,
46,40.1838,1101.74,1124.97,1168.51,66.7747,done,
47,20.824,1125.29,1162.11,1189.56,64.2713,done,
48,18.5065,1148.66,1162.11,1189.56,40.9014,done,
49,14.4277,1171.97,1189.56,1206.21,34.2368,done,
50,45.4424,1195.37,1206.22,1253.17,57.7934,done,
51,59.7838,1218.8,1244.33,1313.22,94.4239,done,
52,21.5493,1242.12,1244.33,1313.22,71.1064,done,
53,27.6088,1265.57,1283.46,1340.94,75.3631,done,
54,15.1095,1288.97,1340.95,1358.31,69.3431,done,
55,13.0454,1308.46,1340.95,1358.31,49.8544,done,
56,15.6947,1327.96,1358.32,1392.8,64.8365,done,
57,30.7955,1347.44,1358.32,1392.8,45.3561,done,
58,16.1993,1366.87,1392.8,1434.49,67.6158,done,
59,36.0837,1386.39,1392.8,1434.49,48.0983,done,
60,9.97585,1405.9,1434.49,1478.48,72.5796,done,
61,40.3155,1429.33,1434.5,1478.48,49.1457,done,
62,14.9461,1452.7,1478.48,1498.6,45.8986,done,
63,12.9919,1476.15,1478.49,1498.6,22.4512,done,
64,23.5968,1499.51,1499.54,1524.66,25.1513,done,
65,35.8805,1522.91,1524.67,1562.06,39.1427,done,
66,20.9935,1546.39,1562.06,1584.57,38.1756,done,
67,30.3741,1569.65,1584.59,1616.45,46.8045,done,
68,19.7426,1593.07,1616.47,1637.73,44.6626,done,
69,18.2966,1616.47,1637.74,1657.58,41.1145,done,
70,10.8214,1639.84,1657.59,1669.93,30.0894,done,
71,19.3761,1669.13,1669.95,1690.87,21.7494,done,
72,18.5419,1698.34,1698.39,1718.42,20.083,done,
73,59.1524,1727.73,1727.77,1788.46,60.7325,done,
74,29.9268,1756.98,1757.04,1818.57,61.585,done,
75,49.9698,1776.35,1814.04,1868.71,92.3667,done,
76,31.0707,1795.79,1814.04,1868.71,72.9221,done,
77,49.5097,1816.39,1866.6,1918.45,102.058,done,
78,25.1287,1834.92,1866.6,1918.45,83.528,done,
80,42.0005,1873.77,1916.8,1961.15,87.38,done,
81,28.8211,1903.02,1916.8,1961.15,58.1298,done,
79,16.3673,1854.22,-1.63714e+12,1977.25,123.03,error,7
82,53.0358,1932.25,1961.16,2016.47,84.2225,done,
83,33.7474,1962.75,2008.66,2065.76,103.018,done,
84,49.0212,1990.75,2008.66,2065.76,75.0089,done,
85,24.9923,2029.73,2065.34,2092.31,62.582,done,
86,32.2257,2068.71,2092.33,2126.07,57.3608,done,
87,32.5969,2107.67,2126.08,2160.22,52.5468,done,
88,24.2205,2136.93,2160.23,2187.49,50.5642,done,
89,21.0252,2166.22,2187.5,2210.01,43.7891,done,
90,37.9062,2195.51,2210.02,2250.87,55.3582,done,
91,18.2408,2224.67,2250.87,2270.64,45.9703,done,
92,60.1026,2253.87,2270.65,2334.03,80.1642,done,
93,56.7064,2283.18,2319.69,2390.94,107.758,done,
94,32.7847,2312.36,2319.7,2390.94,78.5815,done,
95,10.2532,2341.64,2382.94,2418.44,76.7994,done,
96,27.3117,2380.65,2382.94,2418.44,37.7904,done,
97,26.8424,2419.62,2419.67,2448.04,28.4169,done,
98,52.6794,2458.64,2458.67,2512.83,54.192,done,
99,58.0969,2481.97,2508.61,2571.18,89.2134,done,
100,21.6177,2505.34,2508.61,2571.18,65.8408,done,
101,16.7391,2528.81,2558.94,2589.84,61.0266,done,
102,18.4362,2552.18,2558.94,2589.84,37.6535,done,
103,21.124,2575.57,2589.84,2613.17,37.6038,done,
104,16.8705,2598.95,2613.17,2631.58,32.6302,done,
105,10.8714,2622.63,2631.58,2643.99,21.3586,done,
106,26.0924,2645.83,2645.87,2673.46,27.6291,done,
107,19.9371,2669.12,2673.47,2696.46,27.3349,done,
108,55.6159,2692.77,2696.47,2753.61,60.8446,done,
109,9.78933,2715.94,2746.37,2763.59,47.6518,done,
110,8.02059,2739.29,2746.38,2763.59,24.3009,done,
111,40.2407,2762.7,2763.6,2807.51,44.8143,done,
112,54.2363,2786.12,2807.52,2863.31,77.1919,done,
113,28.9215,2809.52,2857.69,2892.44,82.9263,done,
114,23.5364,2832.92,2857.69,2892.44,59.527,done,
115,21.1014,2856.31,2892.45,2915.88,59.5731,done,
116,11.3375,2879.69,2892.45,2915.88,36.1868,done,
117,11.5824,2903.09,2915.89,2929.03,25.9408,done,
118,43.748,2926.6,2929.04,2975.06,48.4588,done,
119,24.1135,2943.35,2974.98,3012.66,69.3077,done,
120,32.5896,2959.96,2974.98,3012.66,52.6923,done,
121,37.4951,2979.71,3012.66,3052.4,72.6945,done,
122,16.3426,2993.34,3012.67,3052.4,59.0646,done,
123,31.0315,3010,3052.4,3089.23,79.2334,done,
124,26.0538,3026.71,3052.41,3089.23,62.5208,done,
125,24.2923,3043.5,3089.24,3116.51,73.0099,done,
126,11.9695,3066.83,3089.24,3116.51,49.6723,done,
127,28.9992,3091.51,3116.51,3166.3,74.7863,done,
