#{"batch_latencies":"/workdir/DynWork/log/azure/LenScale_0.01/summarization/t5_cnn/latencies.csv","bucketing":true,"buckets":"/workdir/DynWork/log/azure/LenScale_0.01/summarization/t5_cnn/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/azure/LenScale_0.01/summarization/t5_cnn/1.2_x_P99/legacy_bucketing/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/azure/LenScale_0.01/summarization/t5_cnn/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":221,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,67.3775,2.53852,11.4251,101.535,98.9966,done,
1,36.4145,61.8007,73.9901,148.025,86.2247,done,
2,46.3625,120.55,148.041,205.701,85.1506,done,
3,69.4956,180.695,205.721,288.308,107.613,done,
4,42.4396,240.074,261.033,336.087,96.0131,done,
5,51.3957,299.717,336.106,391.897,92.18,done,
6,99.5378,398.543,398.6,503.855,105.313,done,
7,53.9217,497.682,497.718,557.895,60.2137,done,
8,52.2031,597.107,605.549,659.386,62.279,done,
9,117.303,645.74,659.403,777.976,132.235,done,
10,86.0835,696.064,713.627,864.26,168.196,done,
11,43.386,744.949,841.92,907.737,162.788,done,
12,96.4245,794.804,907.746,1005.93,211.13,done,
13,59.9167,843.928,998.321,1065.99,222.061,done,
14,135.447,893.384,-1.63798e+12,1109.4,216.02,error,4
16,52.0502,978.811,1039.24,1118.16,139.353,done,
15,63.931,935.628,-1.63798e+12,1151.64,216.01,error,4
17,77.0352,1020.78,1118.22,1196.66,175.877,done,
19,45.1484,1105.73,1164.33,1241.96,136.231,done,
18,76.5189,1063.26,-1.63798e+12,1279.28,216.022,error,7
20,79.7252,1148.27,1242.02,1323.7,175.43,done,
21,58.2353,1190.75,1242.02,1323.7,132.946,done,
22,88.4387,1265.33,1301.32,1412.28,146.945,done,
23,59.5781,1339.95,1412.29,1473.47,133.518,done,
24,71.6919,1413.52,1473.48,1547,133.475,done,
25,56.4886,1488.22,1540.99,1603.65,115.425,done,
26,80.0388,1547.44,1603.66,1685.03,137.582,done,
