#{"batch_latencies":"/workdir/DynWork/log/azure/LenScale_0.01/translation/mbart_wmt/latencies.csv","bucketing":true,"buckets":"/workdir/DynWork/log/azure/LenScale_0.01/translation/mbart_wmt/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/azure/LenScale_0.01/translation/mbart_wmt/1.2_x_P99/legacy_bucketing/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/azure/LenScale_0.01/translation/mbart_wmt/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":76,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,18.8546,2.56921,11.5143,39.6904,37.1212,done,
1,20.0406,22.2914,22.3974,65.2912,42.9998,done,
2,18.3801,41.9755,51.0804,88.8994,46.9239,done,
3,24.9031,61.5987,81.452,120.816,59.2177,done,
4,14.4931,81.5716,105.093,138.08,56.5082,done,
5,8.45836,101.065,105.105,138.08,37.0149,done,
6,11.8764,134.089,134.126,152.127,18.0383,done,
7,46.2811,167.218,175.487,230.952,63.734,done,
8,18.8684,199.849,212.776,253.12,53.271,done,
9,33.8069,215.86,-1.63798e+12,286.875,71.0147,error,4
10,41.4816,233.12,249.572,301.11,67.9903,done,
11,18.7736,249.273,283.883,328.902,79.6288,done,
12,26.1207,265.852,283.886,328.902,63.0503,done,
13,8.06844,282.14,300.34,350.403,68.263,done,
14,20.2821,298.588,300.343,350.403,51.8148,done,
15,21.3365,312.688,320.731,372.989,60.3007,done,
17,15.3402,340.916,366.237,393.378,52.4617,done,
18,19.1339,355.009,366.239,393.378,38.369,done,
16,35.5511,326.696,-1.63798e+12,397.718,71.0226,error,4
19,10.0168,369.144,389.122,404.026,34.8823,done,
20,9.82755,383.288,389.127,404.026,20.7382,done,
21,68.3401,396.945,-1.63798e+12,467.944,70.9996,error,4
22,39.2548,421.424,429.803,471.798,50.374,done,
23,19.5082,446.749,456.665,491.409,44.6602,done,
24,29.7467,471.506,486.258,521.355,49.8494,done,
25,22.3955,496.108,505.917,543.907,47.7988,done,
26,7.97099,515.913,535.805,570.057,54.1448,done,
27,25.9479,535.647,535.809,570.057,34.4105,done,
28,38.152,554.821,558.6,608.367,53.5456,done,
29,57.9992,575.194,599.875,666.623,91.4285,done,
30,12.4179,594.969,599.878,666.623,71.6537,done,
31,8.78325,614.641,624.258,675.504,60.8632,done,
33,24.6883,654.253,675.555,701.844,47.5916,done,
32,15.2982,634.476,-1.63798e+12,705.504,71.0281,error,7
34,22.0209,673.995,695.057,723.95,49.9555,done,
35,26.5394,693.724,721.033,750.663,56.9384,done,
36,27.6417,718.457,743.244,778.482,60.0253,done,
37,12.988,743.067,769.943,791.626,48.5594,done,
38,19.6872,767.796,-1.63798e+12,838.804,71.0086,error,4
39,53.477,792.811,801.172,856.308,63.4973,done,
40,38.4207,812.354,822.755,894.852,82.4981,done,
41,29.2672,832.101,-1.63798e+12,903.127,71.0256,error,7
42,13.7797,851.73,879.144,908.741,57.0113,done,
43,13.7413,871.552,908.765,924.084,52.5321,done,
44,25.1159,891.237,-1.63798e+12,962.254,71.0171,error,8
45,51.7218,910.048,924.101,978.842,68.7937,done,
46,14.7065,930.762,959.817,993.702,62.9405,done,
47,13.3115,950.535,-1.63798e+12,1021.54,71.0024,error,7
48,31.4465,969.454,993.74,1026.55,57.097,done,
49,19.9585,990.037,1010.55,1046.63,56.5976,done,
51,15.0996,1029.6,1044.02,1061.89,32.2903,done,
50,21.0354,1009.77,-1.63798e+12,1080.78,71.0105,error,7
52,18.3595,1049.42,1061.91,1081.82,32.3965,done,
53,10.4348,1069.14,1079.67,1092.37,23.2347,done,
54,22.9292,1088.81,1092.38,1116.83,28.0218,done,
55,16.4339,1105.29,1110.13,1133.41,28.1136,done,
56,22.2128,1121.7,1133.41,1157.25,35.5587,done,
58,7.15723,1154.68,1154.74,1164.5,9.82393,done,
59,12.4983,1171.14,1171.18,1185.18,14.0409,done,
57,26.799,1138.46,-1.63798e+12,1209.48,71.02,error,4
60,26.2325,1187.57,1187.62,1215.37,27.8018,done,
61,19.5603,1207.3,1207.35,1235.08,27.7745,done,
62,20.9135,1227.04,1228.44,1256.18,29.1407,done,
