#{"batch_latencies":"/workdir/DynWork/log/azure/LenScale_0.1/chatbot/blenderbot_convAI/latencies.csv","bucketing":false,"buckets":"/workdir/DynWork/log/azure/LenScale_0.1/chatbot/blenderbot_convAI/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/azure/LenScale_0.1/chatbot/blenderbot_convAI/1.2_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/azure/LenScale_0.1/chatbot/blenderbot_convAI/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":114,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,67.1555,2.6328,11.4674,101.569,98.9364,done,
1,58.366,56.2347,66.2153,175.83,119.595,done,
2,59.0828,110.028,-1.63796e+12,219.043,109.015,error,7
3,70.1475,163.863,163.925,257.612,93.7492,done,
4,64.9236,217.567,-1.63796e+12,326.579,109.013,error,7
5,67.2363,271.405,271.453,350.311,78.9061,done,
6,64.1444,361.035,361.079,430.13,69.0943,done,
7,56.1391,450.792,450.835,511.134,60.3425,done,
8,88.4517,540.503,540.539,630.537,90.0343,done,
9,66.7821,585.368,600.744,697.472,112.104,done,
10,60.2028,630.134,-1.63796e+12,739.148,109.014,error,7
12,59.6809,719.821,719.872,781.039,61.2177,done,
11,50.5878,675.109,-1.63796e+12,784.138,109.029,error,7
13,63.3095,764.825,781.045,845.943,81.1174,done,
15,59.0219,848.033,848.065,908.587,60.554,done,
14,76.5552,809.784,-1.63796e+12,918.814,109.03,error,7
17,57.3411,924.956,925.004,983.836,58.8795,done,
16,56.8533,886.441,-1.63796e+12,995.44,108.999,error,7
18,70.8285,963.387,983.841,1056.28,92.8905,done,
19,62.8957,1001.77,-1.63796e+12,1110.77,109.003,error,7
20,53.5645,1040.22,1056.3,1111.44,71.2171,done,
21,56.1363,1078.63,-1.63796e+12,1187.63,109.003,error,7
22,53.2665,1145.95,1146.01,1200.8,54.8505,done,
23,52.5306,1213.16,1213.2,1267.28,54.1184,done,
24,72.0641,1280.46,1280.51,1354.07,73.6118,done,
25,63.4126,1347.74,1354.08,1419.13,71.3847,done,
26,43.3308,1401.48,1416.52,1462.59,61.1153,done,
27,71.3067,1455.35,1462.6,1535.53,80.1777,done,
28,62.0583,1509.15,1525.02,1597.72,88.5665,done,
29,53.9434,1562.91,-1.63796e+12,1671.94,109.021,error,7
30,65.6825,1616.73,1616.78,1683.96,67.2342,done,
31,62.1526,1670.54,1679.22,1746.39,75.8459,done,
32,72.4254,1724.37,1746.18,1821.71,97.3307,done,
34,48.4785,1832.19,1832.24,1882.25,50.0518,done,
33,53.7292,1778.22,-1.63796e+12,1887.22,109,error,7
35,55.5358,1885.85,1885.88,1942.97,57.1148,done,
36,71.0442,1953.13,1953.17,2025.75,72.622,done,
37,53.0022,2020.39,2020.43,2078.9,58.5106,done,
38,59.721,2087.75,2087.8,2149.08,61.3244,done,
39,60.6777,2154.89,2154.94,2217.12,62.2218,done,
40,72.0396,2208.77,2217.12,2290.69,81.9243,done,
41,67.3809,2262.58,2279.87,2358.24,95.6653,done,
42,51.2299,2316.41,-1.63796e+12,2425.42,109.004,error,7
43,60.521,2370.17,2370.23,2432.28,62.1134,done,
44,48.1449,2424.05,2432.29,2482.94,58.8882,done,
45,63.8404,2477.87,2482.94,2548.32,70.4424,done,
46,52.2199,2531.66,2545.35,2600.67,69.0167,done,
47,74.8145,2585.43,2600.68,2677.08,91.6495,done,
48,77.2646,2639.28,2663.07,2754.51,115.234,done,
49,59.8463,2693.07,-1.63796e+12,2802.11,109.041,error,7
50,70.4393,2746.88,2746.93,2825.13,78.2427,done,
51,66.6769,2800.77,2819.27,2891.88,91.116,done,
52,63.7843,2854.56,-1.63796e+12,2963.57,109.007,error,7
53,63.0179,2908.37,2908.4,2972.93,64.5552,done,
54,49.1061,2962.13,2972.93,3023.64,61.5042,done,
55,62.5406,3007.16,3023.64,3087.69,80.5303,done,
56,60.0284,3051.86,-1.63796e+12,3160.88,109.019,error,7
57,69.2395,3096.74,3096.81,3167.55,70.8074,done,
58,74.1129,3141.54,-1.63796e+12,3250.55,109.007,error,7
59,69.3117,3186.56,3186.61,3257.47,70.9119,done,
60,79.6263,3231.2,-1.63796e+12,3340.2,109.003,error,7
61,60.0063,3285.03,3285.08,3346.68,61.6451,done,
62,62.334,3338.9,3346.68,3410.64,71.7457,done,
63,67.7013,3392.69,3410.65,3479.96,87.2666,done,
64,66.7518,3446.55,-1.63796e+12,3555.57,109.016,error,7
65,80.7853,3500.33,3500.36,3582.64,82.3164,done,
66,52.7111,3554.09,3560.91,3635.53,81.4355,done,
67,61.031,3608,3635.54,3698.77,90.7747,done,
68,63.8177,3661.77,-1.63796e+12,3770.77,109.001,error,7
69,62.8273,3715.62,3715.67,3780.07,64.4504,done,
70,70.1522,3769.35,3780.07,3851.86,82.5031,done,
71,65.3434,3836.7,3850.28,3917.3,80.6037,done,
72,59.2201,3903.97,3917.31,3978.05,74.0809,done,
73,68.8135,3971.21,3978.05,4048.57,77.3632,done,
74,50.6706,4038.43,4048.33,4102.18,63.7519,done,
75,77.965,4083.36,4102.19,4181.82,98.463,done,
76,68.9412,4128.23,-1.63796e+12,4237.25,109.017,error,7
77,65.9775,4172.99,4173.05,4247.92,74.9216,done,
78,60.6707,4217.82,4247.92,4310.69,92.8723,done,
79,78.6501,4262.68,4310.71,4391.69,129.01,done,
80,59.837,4307.56,4310.71,4391.69,84.1238,done,
81,66.5458,4374.85,4374.88,4458.41,83.5575,done,
82,66.5412,4442.07,4458.42,4526.54,84.4757,done,
83,61.2662,4509.28,4526.14,4590.1,80.8247,done,
84,63.4734,4576.96,4590.11,4655.18,78.2185,done,
85,59.3844,4666.27,4666.31,4727.24,60.9701,done,
86,55.1625,4756.02,4756.06,4812.7,56.6816,done,
87,79.6419,4845.73,4845.78,4926.96,81.2318,done,
88,91.0499,4912.94,4913.17,5018.16,105.222,done,
89,59.6474,4980.26,4994.07,5077.9,97.6449,done,
90,58.1687,5047.59,-1.63796e+12,5156.6,109.008,error,7
91,51.0399,5114.7,5114.75,5167.28,52.5802,done,
92,64.005,5182.04,5182.1,5247.63,65.586,done,
93,64.0864,5249.31,5249.33,5314.91,65.6001,done,
94,62.015,5316.64,5316.67,5380.15,63.5094,done,
95,54.1305,5383.91,5383.95,5440.17,56.2639,done,
96,60.2464,5473.56,5473.61,5535.42,61.8575,done,
97,59.4182,5563.25,5563.29,5624.22,60.969,done,
98,73.203,5652.94,5652.98,5727.7,74.76,done,
100,45.1289,5760.52,5760.56,5807.19,46.6681,done,
99,60.6237,5706.67,-1.63796e+12,5815.68,109.001,error,7
101,70.2425,5814.41,5814.46,5886.27,71.863,done,
102,63.7951,5868.15,5877.29,5950.24,82.0899,done,
103,90.5935,5921.92,-1.63796e+12,6030.92,109.008,error,7
104,103.894,5975.77,5975.82,6081.26,105.493,done,
105,51.4764,6029.63,6039.21,6132.84,103.217,done,
106,49.836,6083.46,-1.63796e+12,6192.47,109.002,error,7
107,59.076,6137.24,6137.28,6197.87,60.6291,done,
108,69.5169,6191.05,-1.63796e+12,6300.05,108.999,error,7
109,78.2749,6245.08,6245.11,6324.86,79.7879,done,
110,75.9019,6298.69,-1.63796e+12,6407.72,109.034,error,7
111,70.2452,6352.5,6352.54,6424.28,71.7894,done,
113,48.1538,6460.09,6460.13,6509.76,49.6799,done,
112,54.9788,6406.35,-1.63796e+12,6515.37,109.02,error,7
114,78.861,6513.88,6513.93,6594.28,80.3972,done,
115,56.6536,6567.78,-1.63796e+12,6676.81,109.022,error,7
116,67.8052,6621.62,6621.67,6690.98,69.3614,done,
117,67.27,6675.34,-1.63796e+12,6784.36,109.018,error,7
118,67.9943,6729.17,6729.22,6799.61,70.4364,done,
119,74.0014,6767.64,-1.63796e+12,6876.7,109.057,error,7
120,71.2706,6806.04,6806.06,6878.88,72.8385,done,
121,58.999,6844.45,-1.63796e+12,6953.46,109.006,error,7
122,76.5234,6882.91,6882.96,6961.01,78.0994,done,
123,69.9447,6921.37,-1.63796e+12,7030.38,109.014,error,7
124,71.8337,6959.88,6961.03,7034.45,74.5685,done,
125,60.3791,6998.28,-1.63796e+12,7107.3,109.019,error,7
126,54.2407,7052.04,7052.07,7107.82,55.7769,done,
127,59.9832,7105.9,7107.83,7171.01,65.111,done,
128,59.8943,7159.75,7171.01,7233.17,73.42,done,
129,61.2474,7213.49,7233.18,7295.97,82.4804,done,
130,67.2409,7267.42,7295.98,7364.75,97.3362,done,
131,55.55,7312.17,-1.63796e+12,7421.18,109.01,error,7
132,65.8976,7357.08,7364.78,7432.2,75.1265,done,
134,53.8328,7446.78,7446.83,7502.18,55.395,done,
133,49.1793,7401.82,-1.63796e+12,7510.84,109.015,error,7
135,78.7045,7491.63,7502.19,7582.42,90.787,done,
136,67.7871,7536.44,-1.63796e+12,7645.46,109.017,error,7
137,60.4409,7590.25,7590.31,7652.25,61.9966,done,
138,72.1863,7644.05,7652.26,7726,81.9437,done,
139,59.1889,7698.1,-1.63796e+12,7807.13,109.032,error,7
140,73.2242,7751.68,7751.72,7826.48,74.8037,done,
141,59.652,7805.51,7820.3,7886.24,80.7299,done,
142,55.948,7872.76,7886.25,7943.79,71.029,done,
143,64.9677,7940.08,7943.8,8010.32,70.2409,done,
144,64.8247,8007.26,8010.32,8076.67,69.4056,done,
145,67.5166,8074.6,8076.68,8145.78,71.1777,done,
146,72.7115,8164.3,8164.36,8238.61,74.3088,done,
147,65.6271,8253.94,8254,8321.1,67.1599,done,
148,59.9272,8343.71,8343.76,8405.17,61.4552,done,
149,55.9021,8433.41,8433.46,8490.9,57.4895,done,
150,71.7326,8523.02,8523.08,8596.34,73.3187,done,
151,69.0756,8612.74,8612.79,8683.35,70.6184,done,
152,56.2787,8680.04,8680.1,8739.79,59.7498,done,
153,68.1511,8747.24,8747.29,8817.01,69.7764,done,
154,57.3992,8814.5,8814.53,8874.5,60.0059,done,
155,66.9432,8881.74,8881.8,8950.31,68.5684,done,
156,86.8215,8971.77,8971.81,9060.18,88.4074,done,
157,76.279,9061.26,9061.31,9139.06,77.8009,done,
158,64.476,9150.83,9150.87,9216.87,66.0387,done,
159,57.1567,9195.69,9216.88,9275.56,79.8695,done,
161,55.3875,9285.37,9285.42,9342.31,56.9329,done,
160,56.2009,9240.5,-1.63796e+12,9349.54,109.034,error,7
162,58.2118,9330.21,9342.31,9402.07,71.857,done,
163,65.1928,9375.07,-1.63796e+12,9484.09,109.02,error,7
164,63.8441,9419.89,9419.94,9485.31,65.4146,done,
165,71.1419,9487.34,9487.37,9560,72.667,done,
166,57.2927,9554.45,9560.01,9618.86,64.4054,done,
167,59.6609,9622.38,9622.4,9683.56,61.1877,done,
168,79.7433,9689.09,9689.14,9770.45,81.3522,done,
169,57.8949,9756.31,9765.44,9828.52,72.2131,done,
170,67.8919,9823.55,9828.53,9897.99,74.4458,done,
171,64.4117,9890.86,9897.93,9963.91,73.0586,done,
172,61.5888,9958,9963.92,10027,69.0284,done,
173,74.7386,10025.3,10027,10103.3,77.9512,done,
174,64.5408,10092.6,10096.4,10168,75.4097,done,
175,81.2943,10159.9,10168,10250.9,90.9662,done,
176,69.1857,10227.3,10237.7,10320.2,92.8612,done,
177,67.8518,10294.4,10320.2,10389.5,95.0873,done,
178,62.1357,10361.7,-1.63796e+12,10470.7,109.004,error,7
179,66.8337,10429,10429.1,10497.4,68.3642,done,
180,64.2187,10496.2,10497.4,10563.2,67.0068,done,
181,61.252,10514.1,-1.63796e+12,10623.2,109.035,error,7
183,59.2852,10550,10563.3,10624.1,74.0821,done,
182,77.5071,10532.1,-1.63796e+12,10641.1,109.01,error,7
184,54.8691,10568,-1.63796e+12,10677,109.042,error,7
185,56.5788,10586,-1.63796e+12,10695,109.019,error,7
186,69.3932,10603.8,10624.1,10695.8,92.0056,done,
187,54.4269,10621.8,10624.2,10695.8,74.0539,done,
188,63.0048,10639.8,-1.63796e+12,10748.8,109.027,error,7
190,62.3372,10675.6,10693.3,10758.9,83.2952,done,
189,58.2452,10657.8,-1.63796e+12,10766.8,109.015,error,7
191,65.5098,10693.6,-1.63796e+12,10802.6,109.009,error,7
192,68.4484,10711.7,-1.63796e+12,10820.7,109.011,error,7
194,69.7631,10747.3,10759,10830.3,82.9905,done,
193,63.7471,10729.4,-1.63796e+12,10838.5,109.022,error,7
195,53.933,10765.3,-1.63796e+12,10874.3,109.009,error,7
196,63.4592,10819.1,10830.1,10896.9,77.8036,done,
197,95.9287,10872.9,10896.9,10994.4,121.495,done,
198,70.2551,10926.8,-1.63796e+12,11035.8,109.007,error,7
199,53.338,10980.6,10980.7,11047.9,67.2863,done,
200,75.3947,11034.4,11047.9,11124.8,90.4527,done,
201,55.4158,11088.1,-1.63796e+12,11197.2,109.034,error,7
