#{"batch_latencies":"/workdir/Trace/workload/batch/chatbot/chatbot_blenderbot_cornell_batch_tmp.csv","bucketing":true,"buckets":"/workdir/Trace/log/azure/chatbot/blenderbot_cornell/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/Trace/log/azure/chatbot/blenderbot_cornell/1_x_P99/legacy_bucketing/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/Trace/log/azure/chatbot/blenderbot_cornell/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":113,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,61.9244,2.6534,11.588,94.5328,91.8794,done,
1,129.51,29.4277,-1.63703e+12,137.441,108.014,error,4
2,51.2055,57.8567,65.8801,159.6,101.743,done,
3,71.425,85.6487,-1.63703e+12,193.654,108.006,error,4
4,64.2882,113.487,-1.63703e+12,221.504,108.017,error,4
5,69.7713,141.775,155.389,241.017,99.2417,done,
6,58.255,187.605,-1.63703e+12,295.614,108.009,error,7
7,58.6282,233.994,234.056,309.418,75.4235,done,
8,42.6372,280.266,304.456,355.855,75.5882,done,
9,58.4032,303.318,-1.63703e+12,411.334,108.016,error,7
10,53.9856,326.464,355.89,418.15,91.6862,done,
11,56.9292,349.536,355.892,418.15,68.6142,done,
12,57.9349,372.793,-1.63703e+12,480.802,108.009,error,7
13,60.5584,395.98,413.013,481.997,86.0179,done,
14,84.991,419.07,-1.63703e+12,527.098,108.027,error,7
15,89.3951,438.954,474.674,571.968,133.014,done,
16,50.1905,458.743,474.677,571.968,113.225,done,
17,76.1788,478.664,-1.63703e+12,586.678,108.014,error,7
18,89.301,497.209,-1.63703e+12,605.214,108.005,error,4
19,62.8293,518.245,532.148,634.952,116.707,done,
20,82.4694,537.462,-1.63703e+12,645.482,108.02,error,4
21,65.714,557.987,-1.63703e+12,666.008,108.02,error,7
22,77.4152,592.742,625.093,712.516,119.774,done,
23,53.8173,627.479,-1.63703e+12,735.492,108.013,error,7
24,63.7817,662.31,688.067,776.447,114.137,done,
25,74.554,696.891,-1.63703e+12,804.918,108.028,error,7
26,57.1525,724.698,-1.63703e+12,832.704,108.007,error,7
27,61.7943,752.616,765.708,838.392,85.7764,done,
28,53.9815,780.262,-1.63703e+12,888.282,108.02,error,7
29,49.4482,808.117,838.459,889.419,81.3015,done,
30,58.4268,835.864,-1.63703e+12,943.87,108.007,error,7
31,58.1972,863.711,889.441,949.226,85.5152,done,
32,69.6956,891.384,-1.63703e+12,999.405,108.021,error,7
33,66.2294,919.181,949.283,1017.1,97.9162,done,
34,58.4057,947.026,-1.63703e+12,1055.03,108,error,7
35,73.7071,974.819,-1.63703e+12,1082.84,108.021,error,7
36,66.9109,1009.5,1015.68,1084.1,74.5953,done,
38,57.6569,1078.93,1083.25,1142.53,63.6021,done,
37,82.8717,1044.52,-1.63703e+12,1152.53,108.009,error,4
39,64.4309,1113.71,1142.55,1209.78,96.07,done,
40,60.0545,1141.63,-1.63703e+12,1249.61,107.977,error,4
42,56.7029,1197.17,1209.23,1267.66,70.4939,done,
41,51.9092,1169.25,-1.63703e+12,1277.26,108.009,error,7
44,52.253,1252.7,1267.71,1321.47,68.7749,done,
43,67.8039,1224.86,-1.63703e+12,1332.87,108.007,error,4
45,67.8795,1279.79,-1.63703e+12,1387.8,108.015,error,4
46,75.7273,1307.92,1316.19,1397.33,89.4073,done,
47,70.8972,1335.33,-1.63703e+12,1443.35,108.02,error,4
48,71.2708,1364.2,1387.56,1468.73,104.533,done,
49,52.4474,1391.56,-1.63703e+12,1499.57,108.006,error,7
50,57.0508,1419.39,-1.63703e+12,1527.39,108,error,7
51,61.3772,1447.14,1459.02,1530.29,83.1425,done,
52,57.06,1474.87,-1.63703e+12,1582.89,108.014,error,7
53,50.6515,1502.73,1530.33,1584.21,81.4758,done,
55,52.0826,1553.63,1584.24,1637.8,84.1741,done,
54,69.1989,1530.66,-1.63703e+12,1638.67,108.015,error,7
56,62.9428,1576.33,-1.63703e+12,1684.34,108.015,error,4
57,51.936,1600.14,1637.86,1691.33,91.1925,done,
58,49.5258,1623.09,-1.63703e+12,1731.1,108.01,error,4
59,66.7664,1646.25,-1.63703e+12,1754.26,108.011,error,7
60,62.6798,1668.62,1691.36,1755.34,86.7213,done,
61,63.4193,1697.2,-1.63703e+12,1805.21,108.006,error,7
62,67.7934,1725,1735.16,1823.28,98.2872,done,
63,62.4936,1752.71,-1.63703e+12,1860.75,108.036,error,7
64,64.1931,1780.52,-1.63703e+12,1888.53,108.009,error,7
65,70.0455,1808.38,1812.18,1893.53,85.1501,done,
66,58.6191,1836.13,-1.63703e+12,1944.15,108.021,error,7
67,50.7591,1863.89,1880.09,1944.42,80.5222,done,
68,69.5979,1891.68,-1.63703e+12,1999.71,108.036,error,7
69,86.082,1919.47,1944.45,2032.74,113.263,done,
70,60.1309,1946.86,-1.63703e+12,2054.88,108.023,error,4
71,51.6325,1982.13,2004.5,2084.55,102.425,done,
72,59.3536,2016.72,-1.63703e+12,2124.73,108.012,error,4
73,62.4809,2050.99,2075.22,2147.13,96.1349,done,
