#{"batch_latencies":"/workdir/Trace/workload/batch/summarization/summarization_t5_cnn_batch_tmp.csv","bucketing":false,"buckets":"/workdir/Trace/log/azure/summarization/t5_cnn/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/Trace/log/azure/summarization/t5_cnn/2_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/Trace/log/azure/summarization/t5_cnn/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":3422,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,880.666,2.73512,11.6093,962.219,959.484,done,
1,579.485,299.648,710.213,1541.67,1242.02,done,
2,664.698,596.779,1541.66,2207.95,1611.17,done,
3,1286.46,893.96,2207.97,3495.97,2602.01,done,
4,367.743,1191.2,3038.8,3863.83,2672.63,done,
6,671.365,1983.65,3863.84,4536.78,2553.13,done,
5,553.903,1488.32,-1.63703e+12,4905.34,3417.01,error,7
7,482.531,2478.99,4536.79,5020.9,2541.91,done,
8,566.63,2974.45,5020.9,5589.82,2615.38,done,
10,865.439,3469.67,5589.83,6458.88,2989.21,done,
9,611.339,3221.96,-1.63703e+12,6638.98,3417.02,error,7
14,666.43,4460.31,6458.9,7126.96,2666.65,done,
11,584.724,3717.33,-1.63703e+12,7134.41,3417.07,error,7
12,748.041,3965.03,-1.63703e+12,7382.04,3417.01,error,7
13,341.557,4212.63,-1.63703e+12,7629.63,3417.01,error,7
17,621.384,5097.11,7126.98,7749.97,2652.87,done,
15,550.998,4672.57,-1.63703e+12,8089.58,3417.01,error,7
16,495.403,4885.04,-1.63703e+12,8302.06,3417.02,error,7
18,676.378,5309.5,-1.63703e+12,8726.5,3417.01,error,7
20,989.369,5733.99,7749.99,8740.87,3006.88,done,
19,658.618,5521.91,-1.63703e+12,8938.92,3417.01,error,7
23,574.381,6689.25,8740.89,9316.82,2627.56,done,
21,486.879,5946.26,-1.63703e+12,9363.26,3417,error,7
22,954.923,6317.72,-1.63703e+12,9734.72,3417,error,7
25,742.477,7432.29,9316.83,10060.8,2628.55,done,
24,481.077,7060.77,-1.63703e+12,10477.8,3417,error,7
26,834.433,7729.53,10060.8,10896.8,3167.24,done,
27,393.075,8026.61,-1.63703e+12,11443.6,3417.02,error,7
28,1709,8323.81,-1.63703e+12,11740.8,3417.01,error,7
29,1238.23,8620.99,10896.8,12136.6,3515.57,done,
30,968.119,8918.18,-1.63703e+12,12335.2,3417.01,error,7
31,502.902,9215.39,-1.63703e+12,12632.4,3417.01,error,7
32,564.509,9512.6,11865.5,12701.1,3188.54,done,
33,973.883,9809.8,-1.63703e+12,13226.8,3417.01,error,7
36,633.112,10775.8,12701.2,13335.8,2560.06,done,
34,410.092,10107,-1.63703e+12,13524.1,3417.05,error,7
35,818.091,10404.1,-1.63703e+12,13821.2,3417.01,error,7
37,739.875,11147.2,13335.8,14077.2,2929.98,done,
39,648.831,11890.1,14077.2,14727.5,2837.35,done,
38,620.2,11518.6,-1.63703e+12,14935.6,3417.01,error,7
42,480.708,12781.7,14727.5,15209.8,2428.04,done,
40,551.644,12187.3,-1.63703e+12,15604.3,3417.01,error,7
41,901.845,12484.6,-1.63703e+12,15901.6,3417.03,error,7
43,883.832,13078.9,15209.8,16095.1,3016.17,done,
46,491.23,13970.6,16095.1,16587.9,2617.31,done,
44,1522.57,13376.1,-1.63703e+12,16793.1,3417.01,error,7
48,303.534,14565,16587.9,16892.9,2327.91,done,
45,747.576,13673.3,-1.63703e+12,17090.4,3417.02,error,7
49,467.914,14862.1,16892.9,17363.1,2500.97,done,
47,819.424,14267.8,-1.63703e+12,17684.8,3417.01,error,7
50,736.301,15159.5,17363.1,18101.6,2942.09,done,
52,590.525,15753.7,18101.6,18693.6,2939.94,done,
51,734.46,15456.5,-1.63703e+12,18873.6,3417.02,error,7
54,556.145,16348.1,18693.7,19251.3,2903.19,done,
53,478.272,16050.9,-1.63703e+12,19468,3417.04,error,7
55,732.303,16595.8,-1.63703e+12,20012.8,3417.05,error,7
56,850.341,16843.4,19251.3,20103.1,3259.7,done,
57,756.057,17091.1,-1.63703e+12,20508.1,3417.02,error,7
59,418.845,17586.4,20103.1,20523.5,2937.09,done,
58,525.677,17338.7,-1.63703e+12,20755.7,3417.01,error,7
61,607.585,18131.2,20523.5,21132.6,3001.36,done,
60,522.254,17834.1,-1.63703e+12,21251.1,3417.02,error,7
63,483.374,18725.7,21132.6,21617.4,2891.78,done,
62,506.479,18428.5,-1.63703e+12,21845.5,3417.03,error,7
64,457.817,19023,-1.63703e+12,22440,3417.01,error,7
65,1079.93,19320,21617.5,22700.3,3380.29,done,
66,689.639,19617.3,-1.63703e+12,23034.3,3417,error,7
67,581.35,19914.4,22447.9,23281.7,3367.27,done,
68,996.135,20211.7,-1.63703e+12,23628.7,3417.01,error,7
71,495.235,21177.5,23281.7,23779.1,2601.56,done,
69,487.085,20509,-1.63703e+12,23926,3417,error,7
70,1062.29,20806,-1.63703e+12,24223,3417,error,7
72,646.227,21549.1,23779.1,24426.8,2877.76,done,
73,758.675,21920.6,-1.63703e+12,25337.6,3417,error,7
74,1389.58,22292,24426.8,25817.8,3525.81,done,
75,614.535,22539.7,-1.63703e+12,25956.7,3417.01,error,7
78,340.537,23283.7,25477.1,26158.4,2874.76,done,
76,455.995,22787.3,-1.63703e+12,26204.3,3417,error,7
77,702.94,23035,-1.63703e+12,26452,3417.01,error,7
79,884.387,23530.3,-1.63703e+12,26947.3,3417.02,error,7
80,583.082,23778,-1.63703e+12,27195,3417.02,error,7
81,1116.63,24149.4,26158.5,27276.6,3127.22,done,
