Idx,InputLen,InferenceLatency,InferenceLatencyP99,Admitted,Deadline
0,8,590.7453739782795,1067.8900449757896,1000.0,1300.0
1,4,807.8117240220308,1067.8900449757896,1043.4782608695652,1343.4782608695652
2,16,722.4022439913824,1067.8900449757896,1086.9565217391305,1386.9565217391305
3,14,603.3204060513526,1067.8900449757896,1130.4347826086957,1430.4347826086957
4,10,560.7552990550175,1067.8900449757896,1173.913043478261,1473.913043478261
5,15,576.100470032543,1067.8900449757896,1217.391304347826,1517.391304347826
6,8,699.4672070723027,1067.8900449757896,1260.8695652173913,1560.8695652173913
7,9,513.5909239761531,1067.8900449757896,1304.3478260869565,1604.3478260869565
8,18,734.3351349700242,1067.8900449757896,1347.8260869565217,1647.8260869565217
9,5,814.651257940568,1067.8900449757896,1391.304347826087,1691.304347826087
10,5,660.7480840757489,1067.8900449757896,1434.7826086956522,1734.7826086956522
11,3,636.2946790177375,1067.8900449757896,1478.2608695652175,1778.2608695652175
12,11,692.6595279946923,1067.8900449757896,1521.7391304347825,1821.7391304347825
13,25,907.880467013456,1067.8900449757896,1565.217391304348,1865.217391304348
14,23,629.4277349952608,1067.8900449757896,1608.695652173913,1908.695652173913
15,10,488.6479600099847,1067.8900449757896,1652.1739130434783,1952.1739130434783
16,5,766.8337010545656,1067.8900449757896,1695.6521739130435,1995.6521739130435
17,11,595.8740920759737,1067.8900449757896,1739.1304347826087,2039.1304347826087
18,20,628.6017789971083,1067.8900449757896,1782.608695652174,2082.608695652174
19,10,649.3445039959624,1067.8900449757896,1826.086956521739,2126.086956521739
20,27,992.070158943534,1067.8900449757896,1869.5652173913045,2169.5652173913045
21,11,587.8704650094733,1067.8900449757896,1913.0434782608695,2213.0434782608695
22,8,732.5992160476744,1067.8900449757896,1956.5217391304348,2256.521739130435
23,13,519.2666299408302,1067.8900449757896,2000.0,2300.0
24,11,571.5252700028941,1067.8900449757896,2045.4545454545455,2345.4545454545455
25,11,502.244992996566,1067.8900449757896,2090.909090909091,2390.909090909091
26,19,686.27214001026,1067.8900449757896,2136.3636363636365,2436.3636363636365
27,15,785.9020689502358,1067.8900449757896,2181.818181818182,2481.818181818182
28,4,601.1708739679307,1067.8900449757896,2227.272727272727,2527.272727272727
29,9,611.2871860386804,1067.8900449757896,2272.727272727273,2572.727272727273
30,35,897.9267639806494,1067.8900449757896,2318.181818181818,2618.181818181818
31,38,815.5015190131962,1067.8900449757896,2363.6363636363635,2663.6363636363635
32,18,640.9088469808921,1067.8900449757896,2409.090909090909,2709.090909090909
33,21,603.7430469878018,1067.8900449757896,2454.5454545454545,2754.5454545454545
34,10,573.5656049801037,1067.8900449757896,2500.0,2800.0
35,3,734.3725410755724,1067.8900449757896,2545.4545454545455,2845.4545454545455
36,19,483.8390270015225,1067.8900449757896,2590.909090909091,2890.909090909091
37,8,701.4340189052746,1067.8900449757896,2636.3636363636365,2936.3636363636365
38,8,686.0671381000429,1067.8900449757896,2681.818181818182,2981.818181818182
39,11,701.0420809965581,1067.8900449757896,2727.272727272727,3027.272727272727
40,5,655.6706330738962,1067.8900449757896,2772.727272727273,3072.727272727273
41,22,651.3870910275728,1067.8900449757896,2818.181818181818,3118.181818181818
42,9,539.8560049943626,1067.8900449757896,2863.6363636363635,3163.6363636363635
43,12,723.8197840051726,1067.8900449757896,2909.090909090909,3209.090909090909
44,10,561.0941940685734,1067.8900449757896,2954.5454545454545,3254.5454545454545
45,6,664.102493901737,1067.8900449757896,3000.0,3300.0
46,36,874.8433639993891,1067.8900449757896,3047.6190476190477,3347.6190476190477
47,14,512.9859710577875,1067.8900449757896,3095.2380952380954,3395.2380952380954
48,20,699.7987839858979,1067.8900449757896,3142.8571428571427,3442.8571428571427
49,6,601.0823880787939,1067.8900449757896,3190.4761904761904,3490.4761904761904
50,3,583.3832300268114,1067.8900449757896,3238.095238095238,3538.095238095238
