# {"sse":2606064230.602748,"all_mean":2054.864174330452,"all_p99":6923.863257242668,"all_max":26664.407383010257}
value,starting,ending
1891.6335422253674,2,12
2149.199809932578,12,13
2780.9428254139757,13,14
2161.3660589387946,14,15
2303.7376185947764,15,16
2331.98626904456,16,17
2328.8950513654936,17,18
2695.564256191054,18,19
1829.688288942347,19,20
1836.7628794136074,20,21
2899.7067641059402,21,22
2400.5374687018475,22,23
1828.914823100521,23,24
1496.2268540014823,24,25
5527.709180023521,25,26
2222.5802426886125,26,27
8565.82622701535,27,30
2330.308065678065,30,42
3611.783688014839,42,51
17746.885610045865,51,52
