# {"sse":120515429.07617743,"all_mean":1614.8167720395331,"all_p99":4165.954538038932,"all_max":5769.426009966992}
value,starting,ending
1060.4469309443377,2,30
1666.877172432958,30,32
1745.6223355509185,32,33
1821.6553826917477,33,34
1616.2657614387128,34,35
1791.1544823712718,35,36
1871.4506814350648,36,38
2270.890248540896,38,39
2049.5034178761257,39,40
2229.1056090416337,40,44
2399.5339779137407,44,45
2212.261545153028,45,47
2445.6323654099833,47,50
3152.2934226131138,50,51
2666.8212824469347,51,52
2927.704155580521,52,60
3237.6146938531074,60,67
3632.095694069422,67,86
4972.205373002605,86,114
5769.426009966992,114,115
