#{"batch_latencies":"/workdir/DynWork/log/syn/LenScale_0.01/chatbot/gpt_cornell/latencies.csv","bucketing":false,"buckets":"/workdir/DynWork/log/syn/LenScale_0.01/chatbot/gpt_cornell/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/syn/LenScale_0.01/chatbot/gpt_cornell/1.2_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/syn/LenScale_0.01/chatbot/gpt_cornell/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":74,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,27.1054,37.1305,45.9638,84.9454,47.8148,done,
2,15.0951,65.1424,-1.63794e+12,134.148,69.0057,error,7
1,42.3907,51.0653,64.0617,139.05,87.9846,done,
5,14.2329,107.487,-1.63794e+12,176.502,69.0152,error,7
6,25.8012,121.572,-1.63794e+12,190.594,69.0218,error,7
3,55.2432,79.2578,105.693,208.125,128.867,done,
4,28.9588,93.394,105.696,208.125,114.731,done,
9,12.2858,163.958,-1.63794e+12,232.954,68.9963,error,8
7,18.7329,135.837,159.983,240.227,104.389,done,
8,27.4177,149.792,159.986,240.227,90.4345,done,
10,42.1425,178.018,-1.63794e+12,247.021,69.0025,error,7
11,28.363,220.456,226.118,273.409,52.953,done,
12,52.9265,263.057,273.422,337.188,74.1315,done,
13,43.3785,305.488,312.405,384.995,79.5064,done,
14,13.1018,348.025,-1.63794e+12,417.03,69.005,error,7
15,43.5413,390.574,390.618,437.969,47.3956,done,
17,17.5755,475.495,475.544,495.604,20.1086,done,
16,22.1056,433.014,-1.63794e+12,502.027,69.0131,error,7
18,48.1895,518.147,518.186,568.604,50.4565,done,
19,33.7903,560.644,-1.63794e+12,629.663,69.0182,error,7
20,48.0489,603.022,603.065,652.685,49.6626,done,
21,48.0341,815.563,815.623,865.272,49.7099,done,
22,28.8365,1028.03,1028.08,1058.49,30.4597,done,
23,34.35,1240.51,1240.56,1276.5,35.9894,done,
24,12.2918,1452.88,1452.93,1466.78,13.8961,done,
25,40.8473,1665.38,1665.41,1707.8,42.4202,done,
26,42.3397,1877.92,1877.96,1921.84,43.9223,done,
27,12.4672,2090.3,2090.36,2104.46,14.1635,done,
28,24.6726,2302.79,2302.85,2329.09,26.2998,done,
29,33.2138,2515.32,2515.38,2550.14,34.8256,done,
30,23.5543,2727.73,2727.79,2752.9,25.1673,done,
34,30.1252,2744.87,2752.93,2785.4,40.528,done,
35,22.6261,2749.54,2752.94,2785.4,35.8632,done,
31,28.9166,2732.07,-1.63794e+12,2801.1,69.0324,error,7
32,19.6579,2736.49,-1.63794e+12,2805.5,69.0112,error,7
33,35.579,2740.6,-1.63794e+12,2809.6,69.0018,error,7
40,20.6463,2770.71,-1.63794e+12,2839.72,69.0115,error,7
41,9.23667,2772.78,-1.63794e+12,2841.78,69.0019,error,7
42,28.0741,2774.89,-1.63794e+12,2843.91,69.0205,error,7
36,53.9104,2753.5,2785.45,2844.2,90.7092,done,
37,33.8735,2757.81,2785.46,2844.2,86.3931,done,
38,46.3556,2762.13,2785.46,2844.2,82.0766,done,
39,46.1932,2766.34,2785.47,2844.2,77.8691,done,
43,23.9977,2777.09,-1.63794e+12,2846.11,69.014,error,7
44,22.8328,2779.17,-1.63794e+12,2848.2,69.0319,error,7
45,29.1605,2781.41,-1.63794e+12,2850.4,68.9909,error,7
46,18.8391,2783.39,-1.63794e+12,2852.41,69.0187,error,7
48,8.26651,2789.38,2800.04,2852.56,63.1773,done,
47,50.1099,2785.66,-1.63794e+12,2854.67,69.0071,error,7
49,36.5412,2789.85,-1.63794e+12,2858.86,69.0117,error,7
50,22.3462,2791.88,-1.63794e+12,2860.9,69.0196,error,7
51,33.1477,2804.66,-1.63794e+12,2873.69,69.0335,error,7
52,52.8372,2823.75,-1.63794e+12,2892.76,69.0151,error,7
53,43.2979,2842.66,2852.62,2897.48,54.824,done,
54,47.5747,2861.76,-1.63794e+12,2930.77,69.0159,error,7
55,35.7317,2880.95,2885.32,2933.37,52.4122,done,
57,19.937,2919.04,2929.92,2953.47,34.4245,done,
58,12.6176,2938.01,2953.49,2967.58,29.5693,done,
56,28.3564,2899.82,-1.63794e+12,2968.84,69.0174,error,7
59,17.486,2957.05,2967.59,2986.63,29.5827,done,
60,22.5354,2976.19,2986.65,3010.64,34.4531,done,
61,26.7215,3002.27,3010.66,3038.88,36.6127,done,
62,43.3956,3028.3,3038.89,3083.88,55.5793,done,
64,22.215,3080.49,3080.53,3106.25,25.7659,done,
63,31.6025,3054.38,-1.63794e+12,3123.39,69.0136,error,7
65,67.0022,3106.71,3106.75,3175.26,68.5531,done,
66,13.0345,3132.83,3140.6,3188.4,55.5667,done,
67,49.8261,3158.75,-1.63794e+12,3227.76,69.0181,error,7
69,21.9099,3211.02,3211.06,3234.49,23.4732,done,
68,32.9219,3184.97,-1.63794e+12,3253.98,69.0071,error,7
70,23.4583,3237.11,3237.16,3262.11,24.9917,done,
71,13.0633,3297.91,3297.95,3312.52,14.6168,done,
72,52.7605,3358.79,3358.83,3413.16,54.3671,done,
73,18.2728,3419.57,3419.61,3439.39,19.8197,done,
74,19.4366,3480.49,3480.53,3501.45,20.9653,done,
75,14.869,3541.26,3541.31,3557.69,16.4321,done,
76,27.0655,3602.05,3602.1,3630.68,28.6263,done,
77,32.569,3662.94,3663,3697.11,34.1657,done,
78,29.6962,3723.75,3723.8,3755.06,31.312,done,
79,17.3131,3784.57,3784.63,3803.46,18.8938,done,
80,10.2738,3845.42,3845.48,3857.27,11.8579,done,
