#{"batch_latencies":"/workdir/DynWork/log/syn/LenScale_0.01/summarization/t5_cnn/latencies.csv","bucketing":true,"buckets":"/workdir/DynWork/log/syn/LenScale_0.01/summarization/t5_cnn/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/syn/LenScale_0.01/summarization/t5_cnn/1.5_x_P99/legacy_bucketing/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/syn/LenScale_0.01/summarization/t5_cnn/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":276,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,67.9236,36.4364,45.3055,136.042,99.6061,done,
1,91.7609,72.1275,107.889,250.018,177.89,done,
2,56.3601,108.75,231.53,331.167,222.418,done,
3,69.4649,144.47,231.534,331.167,186.697,done,
4,35.9882,180.414,305.62,373.219,192.805,done,
5,67.6653,216.179,373.238,447.396,231.217,done,
7,120.708,288.276,-1.63794e+12,559.295,271.019,error,4
9,71.4287,359.988,-1.63794e+12,631.011,271.023,error,4
6,84.9462,251.672,428.641,636.236,384.563,done,
10,183.634,395.096,428.644,636.236,241.14,done,
8,44.5543,323.547,513.136,680.963,357.417,done,
11,74.9395,502.246,-1.63794e+12,773.243,270.997,error,4
12,96.7576,611.455,680.991,779.282,167.827,done,
13,85.6861,719.51,737.006,865.108,145.598,done,
14,56.0647,826.76,835.048,921.286,94.5261,done,
15,65.4484,935.582,935.636,1002.63,67.044,done,
16,30.8896,1043.44,1043.5,1075.9,32.4562,done,
17,69.744,1151.38,1151.43,1222.69,71.3107,done,
18,52.9372,1259.81,1259.86,1314.39,54.5782,done,
19,60.0487,1367.68,1367.72,1429.27,61.5903,done,
20,45.1484,1474.78,1474.84,1521.22,46.436,done,
21,64.0471,2014.55,2022.83,2088.19,73.6422,done,
22,192.709,2554.51,2554.56,2748.77,194.269,done,
23,52.2254,3095.02,3095.05,3148.92,53.9082,done,
24,62.1384,3635.2,3635.26,3699.08,63.8798,done,
25,99.4085,4175.08,4183.36,4284.44,109.358,done,
26,81.0114,4713.95,4714.01,4796.44,82.4829,done,
27,56.0271,5254.36,5254.4,5311.95,57.5919,done,
28,239.035,5793.12,5801.45,6041.51,248.39,done,
29,61.6924,6334.55,6334.61,6397.99,63.4453,done,
30,38.5683,6873.9,6873.95,6914.09,40.1841,done,
31,37.1148,6884.45,6914.09,6953.17,68.7236,done,
32,18.4999,6895.34,6914.1,6953.17,57.8325,done,
35,31.5829,6928.89,6953.17,6987.46,58.5667,done,
39,79.1056,6971.64,6987.47,7068.75,97.1091,done,
43,60.8436,6997.29,7068.76,7131.45,134.154,done,
45,46.6907,7001.31,7068.76,7131.45,130.139,done,
33,97.9098,6906.99,-1.63794e+12,7177.99,271,error,4
34,43.128,6916.78,-1.63794e+12,7187.8,271.022,error,4
37,91.2836,6950.46,-1.63794e+12,7221.47,271.006,error,4
38,54.4776,6961.61,-1.63794e+12,7232.62,271.006,error,4
40,30.4757,6983.37,-1.63794e+12,7254.42,271.046,error,4
41,71.5438,6987.18,-1.63794e+12,7258.19,271.011,error,4
42,46.7914,6995.84,-1.63794e+12,7266.87,271.025,error,4
44,129.826,6999.2,-1.63794e+12,7270.2,271.003,error,4
46,65.9907,7005.48,-1.63794e+12,7276.5,271.018,error,4
47,110.474,7009.06,-1.63794e+12,7280.08,271.021,error,4
48,55.6181,7012.51,-1.63794e+12,7283.53,271.023,error,4
49,91.1703,7017.4,-1.63794e+12,7288.43,271.032,error,4
36,56.6442,6938.81,7126.09,7305.51,366.704,done,
52,173.88,7117.04,7126.09,7305.51,188.469,done,
51,94.334,7068.83,-1.63794e+12,7339.85,271.018,error,4
50,54.5373,7020.84,7184.42,7360.21,339.376,done,
54,120.302,7213.84,-1.63794e+12,7484.85,271.008,error,4
53,152.257,7165.47,7360.31,7514.37,348.902,done,
55,103.598,7262.47,7360.31,7514.37,251.903,done,
56,106.376,7311.72,7411.74,7620.92,309.199,done,
57,29.7706,7359.83,-1.63794e+12,7630.84,271.011,error,4
58,74.8041,7408.57,7603.29,7695.85,287.275,done,
59,72.0806,7455.94,-1.63794e+12,7726.94,271.003,error,4
61,66.9967,7571.91,7673.2,7763.02,191.113,done,
60,143.88,7505.01,-1.63794e+12,7776.02,271.009,error,4
62,119.929,7638,7753.12,7883.15,245.148,done,
63,62.2555,7703.32,7827.52,7945.43,242.108,done,
65,50.8701,7837.07,7945.47,7997.95,160.877,done,
64,74.6396,7770.26,-1.63794e+12,8041.28,271.024,error,4
66,92.915,7902.13,7997.97,8092.2,190.066,done,
67,47.4344,7968.59,8052.44,8139.78,171.196,done,
68,51.3957,8035.83,8139.81,8192.87,157.039,done,
69,47.0347,8101.58,8188.47,8240.05,138.468,done,
70,64.411,8168.13,8226.21,8304.58,136.448,done,
71,96.8072,8322.85,8322.9,8421.24,98.3885,done,
72,52.0175,8477.25,8477.3,8530.83,53.5761,done,
73,54.6252,8632.13,8632.18,8688.49,56.3616,done,
74,97.68,8785.74,8785.8,8884.79,99.0455,done,
75,63.3868,8941.31,8941.38,9006.39,65.0722,done,
76,41.0742,9095.51,9095.57,9138.12,42.6144,done,
77,65.3531,9249.61,9249.78,9316.44,66.8332,done,
78,78.0819,9404.69,9404.74,9484.3,79.6078,done,
79,50.7693,9558.94,9559.01,9611.21,52.2717,done,
80,57.7944,9714.04,9714.09,9773.45,59.4152,done,
81,101.96,9891.9,9891.94,9995.12,103.225,done,
82,58.74,10071.4,10071.4,10131.7,60.3257,done,
83,36.607,10250.1,10250.1,10288.2,38.1662,done,
84,47.283,10429.2,10429.3,10478.3,49.0336,done,
85,67.3636,10607.6,10607.6,10676.5,68.9658,done,
86,73.2376,10786.1,10786.1,10860.7,74.6183,done,
87,113.781,10964.8,10964.9,11080,115.129,done,
88,46.3069,11143.3,11143.3,11190.9,47.6507,done,
89,43.386,11322.3,11322.4,11367.1,44.8096,done,
90,83.2191,11501.6,11501.6,11586.5,84.8687,done,
91,68.3866,11515.8,11569.2,11654.9,139.097,done,
95,102.14,11570.8,11654.9,11758.9,188.142,done,
96,36.6369,11584.7,11654.9,11758.9,174.19,done,
92,113.014,11529.5,-1.63794e+12,11800.5,271.015,error,4
93,133.982,11543.8,-1.63794e+12,11814.9,271.045,error,7
94,53.3029,11557.8,11759,11816.2,258.424,done,
101,39.0222,11826.5,11826.5,11867.1,40.6068,done,
97,67.6851,11598.7,-1.63794e+12,11869.7,271.013,error,4
98,25.4447,11613.4,-1.63794e+12,11884.4,271.007,error,7
99,34.8462,11626.7,-1.63794e+12,11897.7,271.008,error,4
100,39.1999,11640.6,-1.63794e+12,11911.7,271.03,error,4
102,184.247,12011.3,12011.4,12197,185.683,done,
103,67.1989,12197.2,12197.3,12266.3,69.1067,done,
104,57.4381,12381.9,12382,12440.9,59.0221,done,
105,46.1268,12566.9,12566.9,12614.5,47.6118,done,
106,34.1496,12752.4,12752.5,12788.2,35.7098,done,
107,49.1835,12937.5,12937.5,12988.2,50.7214,done,
108,79.2228,13123,13123.1,13204,80.9372,done,
109,76.5809,13307.8,13307.8,13385.9,78.1586,done,
110,20.5727,13492.9,13493,13515,22.1091,done,
111,81.1287,13759.2,13759.3,13841.7,82.4615,done,
112,46.9604,14027,14027,14075.6,48.6171,done,
113,49.5397,14293.8,14293.9,14344.9,51.1077,done,
114,89.0071,14560.8,14560.8,14651.4,90.611,done,
115,47.1403,14827.7,14827.8,14876.4,48.7,done,
116,58.2635,15094.7,15094.8,15154.6,59.8835,done,
117,228.424,15362,15362.1,15592.2,230.165,done,
118,60.1491,15628.7,15628.7,15690.5,61.7902,done,
119,63.2934,15895.3,15895.4,15960.1,64.8218,done,
120,73.9461,16161.6,16161.7,16236.9,75.2562,done,
130,97.6231,16219.4,16236.9,16336.2,116.743,done,
124,50.1265,16185.4,16336.2,16388,202.595,done,
121,87.6975,16167.4,-1.63794e+12,16438.4,271,error,4
122,88.8155,16174.1,-1.63794e+12,16445.1,271.015,error,4
123,56.3012,16179.5,-1.63794e+12,16450.5,271.007,error,4
125,56.4886,16190.9,-1.63794e+12,16461.9,271.015,error,4
126,104.235,16196.4,-1.63794e+12,16467.4,271.015,error,4
129,82.19,16212.6,16388,16471.4,258.868,done,
127,64.3379,16202.3,-1.63794e+12,16473.3,271.003,error,8
128,77.3403,16207.3,-1.63794e+12,16478.3,271.003,error,4
131,74.4858,16335.2,16471.1,16548.4,213.181,done,
132,89.7488,16451.7,16548.4,16639.8,188.019,done,
133,51.9385,16568,16639.8,16693.4,125.424,done,
134,61.8865,16683.8,16693.4,16757.4,73.6486,done,
135,83.9807,16800,16800.1,16885.5,85.5249,done,
136,26.6898,16915.7,16915.7,16943.8,28.1225,done,
137,77.603,17031.7,17031.7,17110.6,78.9128,done,
138,150.723,17148,17148.1,17300.1,152.068,done,
139,76.9604,17264,17300.1,17378.4,114.413,done,
140,92.7712,17381.3,17381.4,17475.8,94.4563,done,
141,48.3374,17849.3,17849.3,17899.1,49.7574,done,
142,75.5732,18318.4,18318.5,18395.4,76.9649,done,
143,60.0126,18788.3,18788.4,18850,61.6354,done,
144,67.3746,19256.6,19256.7,19325.4,68.7329,done,
145,61.2397,19726.5,19726.6,19789.5,62.9289,done,
146,63.8865,20194.9,20194.9,20260.2,65.2898,done,
147,26.1969,20664.7,20664.7,20692.5,27.824,done,
148,55.0794,21133.7,21133.8,21190.4,56.6943,done,
149,68.3591,21602.3,21602.3,21672,69.702,done,
150,131.459,22072.2,22072.2,22205.2,133.028,done,
151,52.5443,22866.2,22866.2,22920.3,54.1323,done,
152,61.2627,23659.6,23659.6,23722.2,62.6597,done,
153,129.339,24454.6,24454.6,24585.6,130.993,done,
154,110.481,25249.3,25249.3,25361.5,112.186,done,
155,91.8185,26042.4,26042.5,26135.6,93.1921,done,
156,52.9987,26837.1,26837.1,26891.7,54.6106,done,
157,49.9184,27631.1,27631.1,27682.4,51.386,done,
158,33.7039,28425.5,28425.5,28460.8,35.3594,done,
159,79.9018,29219,29219.1,29317.6,98.5884,done,
160,62.0382,30013.4,30013.5,30090.4,76.9935,done,
162,67.6378,30044.3,30090.4,30163.4,119.089,done,
163,47.4992,30059.9,30090.4,30163.4,103.465,done,
165,102.498,30092,30163.4,30270.6,178.613,done,
161,60.5913,30028.7,-1.63794e+12,30299.7,271.006,error,4
164,82.1161,30075.9,30270.6,30354.7,278.793,done,
166,53.3569,30107.3,-1.63794e+12,30378.3,271.013,error,4
167,118.133,30122.6,-1.63794e+12,30393.6,271.003,error,4
168,68.8892,30138.5,30323.8,30423.8,285.233,done,
169,83.2148,30154,-1.63794e+12,30425,271.019,error,4
170,139.268,30169.1,-1.63794e+12,30440.1,271.009,error,4
171,78.948,30597.4,30597.4,30678,80.6393,done,
172,76.4785,31024.7,31033.1,31111.2,86.4976,done,
173,34.9782,31451.8,31451.9,31488.2,36.4317,done,
174,105.668,31880.2,31880.3,31987.6,107.349,done,
175,61.1601,32307.2,32307.3,32369.9,62.6451,done,
176,68.3928,32735.4,32735.5,32805.6,70.1963,done,
177,65.192,33162.3,33162.4,33228.9,66.6391,done,
178,53.2693,33590.6,33590.6,33645.5,54.9122,done,
179,59.2727,34017.3,34017.3,34077.9,60.6279,done,
180,83.8687,34444.8,34444.9,34530,85.1919,done,
182,45.0743,34497,34527.7,34575.2,78.2519,done,
181,50.2809,34471.6,34575.2,34627.1,155.487,done,
186,72.6539,34599.4,34627.1,34723.6,124.212,done,
187,94.5016,34625.1,34627.1,34723.6,98.4528,done,
184,64.6989,34547.6,34723.6,34790.6,243.038,done,
183,55.0858,34522.8,-1.63794e+12,34793.8,271.022,error,4
189,47.8649,34676.9,34790.7,34840.9,163.953,done,
185,54.6371,34574,-1.63794e+12,34845.1,271.03,error,7
190,59.2629,34702.8,34840.9,34901.7,198.875,done,
188,73.0311,34651.3,-1.63794e+12,34922.3,271.019,error,7
191,86.0835,35074.9,35075,35162.6,87.7059,done,
