#{"batch_latencies":"/workdir/DynWork/log/syn/LenScale_0.01/translation/fsmt_wmt/latencies.csv","bucketing":false,"buckets":"/workdir/DynWork/log/syn/LenScale_0.01/translation/fsmt_wmt/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/syn/LenScale_0.01/translation/fsmt_wmt/1_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/syn/LenScale_0.01/translation/fsmt_wmt/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":47,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,3.23244,37.0746,45.7646,53.2232,16.1487,done,
1,37.0113,45.7911,53.2323,91.8481,46.057,done,
2,14.6565,54.7172,54.8034,106.692,51.9744,done,
3,18.0096,63.6227,63.6655,124.89,61.2676,done,
4,18.7727,72.5227,72.5627,143.811,71.2883,done,
8,16.199,108.161,-1.63733e+12,150.187,42.0261,error,4
5,10.0698,81.4114,81.467,154.089,72.678,done,
9,4.6801,117.02,-1.63733e+12,159.037,42.0172,error,4
10,30.9873,125.9,-1.63733e+12,167.934,42.0344,error,8
6,16.4046,90.3063,104.956,170.73,80.4238,done,
7,10.0498,99.1916,104.959,170.73,71.5385,done,
11,18.2942,152.908,-1.63733e+12,194.941,42.0326,error,7
12,16.9221,179.667,179.713,198.157,18.4904,done,
13,15.3671,206.525,206.565,223.464,16.9393,done,
14,6.13862,233.39,233.44,241.022,7.6317,done,
15,15.6347,260.143,260.178,277.326,17.1824,done,
16,13.649,286.967,287.024,302.208,15.241,done,
17,9.67735,313.99,314.041,325.357,11.3669,done,
18,29.3465,340.613,340.643,371.514,30.9006,done,
19,19.3337,367.544,367.585,391,23.4555,done,
20,30.2133,394.211,394.254,426.028,31.8173,done,
21,20.9053,528.366,528.394,550.801,22.4353,done,
22,40.2726,662.497,662.558,704.345,41.8477,done,
23,24.2221,796.76,796.812,822.809,26.0491,done,
24,12.2503,930.64,930.694,944.453,13.8128,done,
25,6.0294,1064.81,1064.86,1072.41,7.5956,done,
26,16.5092,1198.88,1198.92,1217.03,18.1493,done,
27,22.4103,1333.08,1333.12,1357.05,23.9661,done,
28,6.59575,1467.16,1467.19,1475.28,8.12353,done,
