BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
0,2,12,0,41.41701509943232,47.53777110017836,12
0,2,12,1,47.53777110017836,53.6585271009244,65
0,2,12,2,53.6585271009244,59.77928310167044,177
0,2,12,3,59.77928310167044,65.90003910241649,191
0,2,12,4,65.90003910241649,72.02079510316253,152
0,2,12,5,72.02079510316253,78.14155110390855,89
0,2,12,6,78.14155110390855,84.2623071046546,59
0,2,12,7,84.2623071046546,90.38306310540064,13
0,2,12,8,90.38306310540064,96.50381910614668,5
0,2,12,9,96.50381910614668,102.62457510689272,3
1,12,13,0,48.45287940697745,51.094605276593946,2
1,12,13,1,51.094605276593946,53.73633114621044,4
1,12,13,2,53.73633114621044,56.37805701582693,13
1,12,13,3,56.37805701582693,59.01978288544342,12
1,12,13,4,59.01978288544342,61.66150875505991,4
1,12,13,5,61.66150875505991,64.3032346246764,3
1,12,13,6,64.3032346246764,66.9449604942929,3
1,12,13,7,66.9449604942929,69.5866863639094,2
1,12,13,8,69.5866863639094,72.22841223352589,1
1,12,13,9,72.22841223352589,74.87013810314238,1
2,13,14,0,49.85095669981092,52.65704928897321,6
2,13,14,1,52.65704928897321,55.4631418781355,6
2,13,14,2,55.4631418781355,58.26923446729779,8
2,13,14,3,58.26923446729779,61.07532705646008,3
2,13,14,4,61.07532705646008,63.88141964562237,6
2,13,14,5,63.88141964562237,66.68751223478466,6
2,13,14,6,66.68751223478466,69.49360482394695,0
2,13,14,7,69.49360482394695,72.29969741310924,7
2,13,14,8,72.29969741310924,75.10579000227153,3
2,13,14,9,75.10579000227153,77.91188259143382,2
3,14,15,0,50.81559120444581,53.963213483802974,3
3,14,15,1,53.963213483802974,57.11083576316014,6
3,14,15,2,57.11083576316014,60.258458042517304,3
3,14,15,3,60.258458042517304,63.40608032187447,3
3,14,15,4,63.40608032187447,66.55370260123163,4
3,14,15,5,66.55370260123163,69.7013248805888,0
3,14,15,6,69.7013248805888,72.84894715994596,1
3,14,15,7,72.84894715994596,75.99656943930313,1
3,14,15,8,75.99656943930313,79.1441917186603,0
3,14,15,9,79.1441917186603,82.29181399801746,1
4,15,16,0,48.484048305545,51.63370223483071,1
4,15,16,1,51.63370223483071,54.78335616411641,4
4,15,16,2,54.78335616411641,57.93301009340212,4
4,15,16,3,57.93301009340212,61.08266402268782,6
4,15,16,4,61.08266402268782,64.23231795197353,5
4,15,16,5,64.23231795197353,67.38197188125923,3
4,15,16,6,67.38197188125923,70.53162581054494,1
4,15,16,7,70.53162581054494,73.68127973983064,0
4,15,16,8,73.68127973983064,76.83093366911635,0
4,15,16,9,76.83093366911635,79.98058759840205,1
5,16,17,0,49.4521179003641,51.74098031013273,1
5,16,17,1,51.74098031013273,54.02984271990135,3
5,16,17,2,54.02984271990135,56.31870512966998,0
5,16,17,3,56.31870512966998,58.607567539438605,3
5,16,17,4,58.607567539438605,60.89642994920723,4
5,16,17,5,60.89642994920723,63.18529235897586,5
5,16,17,6,63.18529235897586,65.47415476874448,1
5,16,17,7,65.47415476874448,67.76301717851311,2
5,16,17,8,67.76301717851311,70.05187958828174,0
5,16,17,9,70.05187958828174,72.34074199805036,3
6,17,18,0,47.84770989790559,51.18339333916083,2
6,17,18,1,51.18339333916083,54.51907678041607,3
6,17,18,2,54.51907678041607,57.85476022167131,6
6,17,18,3,57.85476022167131,61.190443662926555,4
6,17,18,4,61.190443662926555,64.5261271041818,4
6,17,18,5,64.5261271041818,67.86181054543704,3
6,17,18,6,67.86181054543704,71.19749398669228,0
6,17,18,7,71.19749398669228,74.53317742794752,0
6,17,18,8,74.53317742794752,77.86886086920276,2
6,17,18,9,77.86886086920276,81.204544310458,1
7,18,19,0,52.510925102978945,53.80934962187894,1
7,18,19,1,53.80934962187894,55.10777414077893,2
7,18,19,2,55.10777414077893,56.40619865967892,2
7,18,19,3,56.40619865967892,57.70462317857891,0
7,18,19,4,57.70462317857891,59.003047697478905,0
7,18,19,5,59.003047697478905,60.3014722163789,0
7,18,19,6,60.3014722163789,61.59989673527889,1
7,18,19,7,61.59989673527889,62.89832125417888,1
7,18,19,8,62.89832125417888,64.19674577307887,1
7,18,19,9,64.19674577307887,65.49517029197887,1
8,19,20,0,52.03228339087218,54.50485233217478,1
8,19,20,1,54.50485233217478,56.977421273477376,1
8,19,20,2,56.977421273477376,59.44999021477997,3
8,19,20,3,59.44999021477997,61.92255915608257,1
8,19,20,4,61.92255915608257,64.39512809738517,3
8,19,20,5,64.39512809738517,66.86769703868777,0
8,19,20,6,66.86769703868777,69.34026597999036,0
8,19,20,7,69.34026597999036,71.81283492129296,0
8,19,20,8,71.81283492129296,74.28540386259556,0
8,19,20,9,74.28540386259556,76.75797280389816,1
9,20,21,0,53.670322604011744,56.121597323799506,2
9,20,21,1,56.121597323799506,58.57287204358727,2
9,20,21,2,58.57287204358727,61.02414676337503,3
9,20,21,3,61.02414676337503,63.47542148316279,2
9,20,21,4,63.47542148316279,65.92669620295055,1
9,20,21,5,65.92669620295055,68.37797092273831,3
9,20,21,6,68.37797092273831,70.82924564252608,0
9,20,21,7,70.82924564252608,73.28052036231384,0
9,20,21,8,73.28052036231384,75.7317950821016,0
9,20,21,9,75.7317950821016,78.18306980188936,1
10,21,22,0,53.359256708063185,55.54540988756344,1
10,21,22,1,55.54540988756344,57.73156306706369,1
10,21,22,2,57.73156306706369,59.91771624656394,2
10,21,22,3,59.91771624656394,62.10386942606419,0
10,21,22,4,62.10386942606419,64.29002260556445,1
10,21,22,5,64.29002260556445,66.4761757850647,0
10,21,22,6,66.4761757850647,68.66232896456495,1
10,21,22,7,68.66232896456495,70.8484821440652,0
10,21,22,8,70.8484821440652,73.03463532356545,0
10,21,22,9,73.03463532356545,75.2207885030657,1
11,22,23,0,55.077915894798934,56.60392060526647,1
11,22,23,1,56.60392060526647,58.129925315734,0
11,22,23,2,58.129925315734,59.65593002620153,0
11,22,23,3,59.65593002620153,61.181934736669064,1
11,22,23,4,61.181934736669064,62.707939447136596,0
11,22,23,5,62.707939447136596,64.23394415760413,1
11,22,23,6,64.23394415760413,65.75994886807166,0
11,22,23,7,65.75994886807166,67.28595357853919,1
11,22,23,8,67.28595357853919,68.81195828900672,0
11,22,23,9,68.81195828900672,70.33796299947426,1
12,23,25,0,52.73001230088994,55.36748128128238,3
12,23,25,1,55.36748128128238,58.00495026167482,0
12,23,25,2,58.00495026167482,60.64241924206726,0
12,23,25,3,60.64241924206726,63.279888222459704,9
12,23,25,4,63.279888222459704,65.91735720285214,3
12,23,25,5,65.91735720285214,68.55482618324459,0
12,23,25,6,68.55482618324459,71.19229516363703,0
12,23,25,7,71.19229516363703,73.82976414402947,1
12,23,25,8,73.82976414402947,76.46723312442191,1
12,23,25,9,76.46723312442191,79.10470210481435,2
13,25,28,0,70.19018059363589,74.15992937400006,4
13,25,28,1,74.15992937400006,78.12967815436423,3
13,25,28,2,78.12967815436423,82.0994269347284,0
13,25,28,3,82.0994269347284,86.06917571509257,1
13,25,28,4,86.06917571509257,90.03892449545674,3
13,25,28,5,90.03892449545674,94.00867327582091,0
13,25,28,6,94.00867327582091,97.97842205618508,0
13,25,28,7,97.97842205618508,101.94817083654925,0
13,25,28,8,101.94817083654925,105.91791961691342,0
13,25,28,9,105.91791961691342,109.8876683972776,1
14,28,29,0,66.69787489809096,69.24681641859934,1
14,28,29,1,69.24681641859934,71.79575793910772,0
14,28,29,2,71.79575793910772,74.3446994596161,0
14,28,29,3,74.3446994596161,76.89364098012447,0
14,28,29,4,76.89364098012447,79.44258250063285,0
14,28,29,5,79.44258250063285,81.99152402114123,0
14,28,29,6,81.99152402114123,84.54046554164962,0
14,28,29,7,84.54046554164962,87.089407062158,0
14,28,29,8,87.089407062158,89.63834858266638,0
14,28,29,9,89.63834858266638,92.18729010317476,1
15,29,30,0,98.31738939631033,98.33707255735064,0
15,29,30,1,98.33707255735064,98.35675571839094,0
15,29,30,2,98.35675571839094,98.37643887943123,0
15,29,30,3,98.37643887943123,98.39612204047154,0
