#{"batch_latencies":"/workdir/DynWork/log/syn/LenScale_0.1/summarization/t5_cnn/latencies.csv","bucketing":false,"buckets":"/workdir/DynWork/log/syn/LenScale_0.1/summarization/t5_cnn/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/syn/LenScale_0.1/summarization/t5_cnn/1_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/syn/LenScale_0.1/summarization/t5_cnn/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":1812,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,610.768,37.0973,45.915,729.8,692.703,done,
1,370.704,395.525,729.797,1102.03,706.505,done,
2,719.598,754.141,1102.04,1824.48,1070.34,done,
3,1215.22,1112.85,1696.85,3039.78,1926.93,done,
5,1114.27,1829.92,-1.63731e+12,3636.93,1807.01,error,4
4,609.658,1471.22,2419.01,3649.51,2178.28,done,
6,761.418,2188.4,-1.63731e+12,3995.42,1807.02,error,7
7,297.721,2547.02,-1.63731e+12,4354.02,1807,error,7
9,824.791,3264.31,3649.53,4475.84,1211.53,done,
8,297.122,2905.96,-1.63731e+12,4713,1807.04,error,7
11,642.284,4702.69,4702.72,5346.54,643.849,done,
10,530.888,3622.74,-1.63731e+12,5429.74,1807,error,7
12,964.902,5782.77,5782.81,6749.2,966.43,done,
13,1020.01,6862.74,6862.78,7884.22,1021.48,done,
14,537.862,7942.72,7942.76,8482.2,539.483,done,
15,425.226,9022.67,9022.71,9449.6,426.923,done,
16,901.729,10102.8,10102.8,11006,903.2,done,
17,845.018,11182.8,11182.8,12029.4,846.58,done,
18,475.816,12262.7,12262.7,12740.9,478.242,done,
19,539.192,13342.7,13342.7,13883.4,540.717,done,
20,680.482,14422.7,14422.8,15104.7,681.969,done,
21,390.222,19821.3,19821.4,20213.2,391.869,done,
22,582.353,25219.8,25219.8,25803.8,584.044,done,
23,642.158,30618.2,30618.3,31262.2,643.947,done,
24,861.004,36016.8,36016.8,36946.3,929.558,done,
25,582.635,41415.4,41415.5,41999.7,584.258,done,
26,830.346,46813.8,46813.8,47645.7,831.95,done,
27,494.789,52212.2,52212.3,52708.7,496.466,done,
28,472.83,57610.6,57610.7,58085.2,474.596,done,
29,1570.14,63009.1,63009.1,64580.8,1571.75,done,
30,622.555,68407.6,68407.7,69031.8,624.185,done,
33,642.161,68735.1,69031.8,69676.2,941.099,done,
31,379.33,68516.6,-1.63731e+12,70323.6,1807,error,7
32,517.469,68625.8,-1.63731e+12,70432.9,1807.03,error,7
39,871.063,69389.9,69676.2,70548.8,1158.9,done,
34,430.678,68844.1,-1.63731e+12,70651.1,1807.01,error,7
35,1746.86,68953.3,-1.63731e+12,70760.3,1807,error,7
36,851.921,69062.6,-1.63731e+12,70869.6,1807,error,7
37,1687.04,69171.5,-1.63731e+12,70978.6,1807.01,error,7
38,1070.77,69280.7,-1.63731e+12,71087.7,1807,error,7
51,557.237,70361,70548.8,71107.5,746.532,done,
40,445.701,69499,-1.63731e+12,71306,1807,error,7
41,445.956,69536.7,-1.63731e+12,71343.7,1807.02,error,7
42,512.171,69574.6,-1.63731e+12,71381.6,1807.01,error,7
43,592.986,69612.3,-1.63731e+12,71419.4,1807.01,error,7
44,1180.71,69650.1,-1.63731e+12,71457.2,1807.01,error,7
45,503.315,69687.9,-1.63731e+12,71494.9,1807.05,error,7
46,667.861,69725.8,-1.63731e+12,71532.8,1807,error,7
47,772.52,69763.4,-1.63731e+12,71570.4,1807,error,7
48,574.381,69801.2,-1.63731e+12,71608.2,1807.01,error,7
49,509.844,69838.9,-1.63731e+12,71645.9,1807.02,error,7
50,639.75,69876.8,-1.63731e+12,71683.8,1807,error,7
52,590.525,70845.1,71107.5,71699.6,854.43,done,
54,757.52,71813.5,71813.6,72572.6,759.04,done,
55,214.078,72297.8,72572.6,72788.2,490.413,done,
53,821.539,71329.3,-1.63731e+12,73136.3,1807.01,error,7
56,845.483,72782,72788.2,73635.1,853.17,done,
58,398.841,73750.3,73750.3,74150.7,400.386,done,
59,537.554,74234.5,74234.5,74773.6,539.122,done,
57,445.543,73266.2,-1.63731e+12,75073.2,1807.02,error,7
60,627.353,74718.6,74773.6,75402.4,683.769,done,
61,645.138,75381.8,75402.4,76049,667.241,done,
62,676.435,76045,76049,76726.9,681.972,done,
63,1242.93,76707.9,76726.9,77971.3,1263.4,done,
64,492.295,77371,77554.9,78463.7,1092.69,done,
65,681.456,78034.2,78463.7,79146.7,1112.5,done,
66,639.778,78697.3,79146.7,79787.9,1090.61,done,
67,769.604,79360.3,79788,80559,1198.68,done,
68,379.099,80023.5,80559,80939.6,916.125,done,
69,967.833,80686.6,80939.6,81909,1222.32,done,
70,660.117,81349.7,81909,82570.6,1220.82,done,
71,2338.46,82895.3,82895.4,85235.2,2339.85,done,
72,893.589,84441,84441,86128.8,1687.8,done,
73,550.998,85986.5,-1.63731e+12,87793.5,1807.01,error,4
74,425.461,87532.2,-1.63731e+12,89339.2,1807,error,4
75,750.556,89077.9,-1.63731e+12,90884.9,1807.01,error,4
76,850.103,90623.3,-1.63731e+12,92430.4,1807.01,error,4
77,867.553,92169,-1.63731e+12,93976,1807.02,error,4
78,1241.9,93714.6,-1.63731e+12,95521.6,1807.03,error,4
79,381.211,95260.3,-1.63731e+12,97067.3,1807,error,4
80,721.849,96805.8,-1.63731e+12,98612.8,1807,error,4
