#{"batch_latencies":"/workdir/DynWork/log/syn/LenScale_0.1/translation/fsmt_wmt/latencies.csv","bucketing":true,"buckets":"/workdir/DynWork/log/syn/LenScale_0.1/translation/fsmt_wmt/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/syn/LenScale_0.1/translation/fsmt_wmt/1_x_P99/legacy_bucketing/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/syn/LenScale_0.1/translation/fsmt_wmt/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":467,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,70.7143,37.0972,45.9897,140.154,103.057,done,
1,64.2415,126.056,140.169,223.786,97.73,done,
2,316.473,214.352,222.742,576.472,362.12,done,
3,80.9553,304.133,548.453,750.318,446.184,done,
4,173.519,393.263,548.456,750.318,357.054,done,
5,101.561,482.306,707.232,874.478,392.172,done,
6,124.102,571.343,707.235,874.478,303.135,done,
7,128.902,660.466,873.759,1005.86,345.39,done,
8,88.2748,749.495,873.762,1005.86,256.362,done,
9,117.362,838.607,1005.86,1125.49,286.882,done,
10,96.9704,927.752,1005.87,1125.49,197.738,done,
11,230.981,1196.02,1196.08,1428.54,232.522,done,
12,223.665,1464.31,1464.34,1689.52,225.209,done,
13,129.108,1732.64,1732.68,1863.3,130.663,done,
14,86.7427,2000.93,2000.97,2089.21,88.279,done,
15,127.67,2269.21,2269.27,2398.43,129.223,done,
16,468.911,2536.87,2545.15,3015.17,478.305,done,
17,130.332,2805.9,2917.26,3145.57,339.669,done,
18,109.702,3074.12,3145.58,3256.78,182.658,done,
19,36.224,3342.67,3342.73,3380.49,37.8241,done,
20,109.117,3610.73,3610.76,3721.33,110.593,done,
21,105.57,4951.89,4951.94,5059.04,107.157,done,
22,218.014,6293,6293.03,6512.52,219.522,done,
23,194.117,7634.21,7634.25,7829.83,195.619,done,
24,497.768,8974.55,-1.63732e+12,9436.56,462.006,error,4
25,82.042,10316.4,10316.4,10400,83.6087,done,
26,74.7697,11657.5,11657.6,11733.9,76.389,done,
27,259.614,12998.8,13007.2,13268.3,269.462,done,
28,59.5497,14339.9,14339.9,14401,61.1665,done,
29,167.968,15680.9,15680.9,15850.4,169.514,done,
30,134.913,17022.1,17022.2,17158.7,136.562,done,
31,79.0725,17049.1,-1.63732e+12,17511.2,462.022,error,7
34,363.005,17130.2,17158.7,17523.1,392.96,done,
32,96.5305,17076.2,-1.63732e+12,17538.2,462.002,error,7
33,90.0264,17103.3,-1.63732e+12,17565.3,462.003,error,7
35,165.453,17157.5,-1.63732e+12,17619.5,461.999,error,7
37,337.146,17211.1,-1.63732e+12,17673.1,462.02,error,4
41,314.481,17301.8,-1.63732e+12,17763.8,462.015,error,4
36,46.8625,17184.7,17474.3,17769,584.367,done,
38,210.442,17239,17474.3,17769,529.99,done,
39,79.0626,17266,17474.3,17769,503.011,done,
40,245.36,17293.2,17474.3,17769,475.795,done,
42,159.446,17312,17474.3,17769,457.063,done,
43,177.959,17321.3,17474.3,17769,447.718,done,
44,75.6436,17330.7,17474.3,17769,438.355,done,
45,146.525,17340,17474.3,17769,429.012,done,
47,543.132,17359.1,-1.63732e+12,17821.1,462.001,error,4
51,282.138,17507.2,-1.63732e+12,17969.2,462.025,error,7
46,156.847,17349.5,17659.2,18007.1,657.631,done,
