BatchSize,InferenceLatency
1,72.17215135227889
2,19.15594406612217
3,22.859625100158155
4,26.12114818394184
5,30.484285042388365
6,33.96190621168353
7,36.90321868029423
8,40.01657725381665
9,44.57242040801793
10,47.12904272810556
11,50.36995358020067
12,53.73700691387057
13,57.317172640003264
14,60.664244406158105
15,63.47115920018405
16,66.83448241394944
17,71.42671432788484
18,73.94776769005693
19,77.43362257815897
20,79.7428809676785
21,83.70834323810413
22,86.98411227366887
23,90.0837638473604
24,93.33119940198958
25,97.928702382138
26,100.311945395777
27,103.72084932611324
28,106.54166784021072
29,111.4945503140334
30,114.97455787635408
31,118.12134017376229
32,121.4871275241021
33,125.58945017796941
34,129.0690447757952
35,132.27034181379713
36,135.2174099162221
37,139.36061513819732
38,142.09079407993704
39,145.44243404245935
40,148.5372099338565
41,155.2684636421036
42,157.3422899658326
43,160.24782306188717
44,163.60129107604737
45,169.91628347011283
46,171.62750962609425
47,175.12222308805212
48,178.1652941859793
49,183.68390512792402
50,186.2089479500428
51,189.22044298588298
52,138.72277814196426
53,143.5573818203993
54,147.55832704366185
55,148.39832138014026
56,148.6394166459795
57,154.3420621601399
58,157.3006020898465
59,160.3220107019879
60,160.04740417585708
61,165.58305890252814
62,169.64930937206373
63,173.3478837783914
64,173.22924638586122
65,176.73094147024676
66,181.89153152820649
67,185.5722519243136
68,182.85250499797985
69,190.43693120777607
70,194.7482730341144
71,194.59932271181611
72,196.0387249540072
73,199.1946362981107
74,204.85707030375488
75,207.62847676640376
76,210.00394199392758
77,211.2575463182293
78,215.12223671586253
79,219.25769714568742
80,219.04239420196973
81,223.1340106721036
82,228.5738596841693
83,232.47151793004014
84,235.529470494017
85,236.17010375414972
86,241.50217990810052
87,249.04946450982243
88,246.01367231388576
89,249.35190777434042
90,253.04440641822293
91,253.263389169937
92,255.83938313578253
93,261.6442176378332
94,267.4849443139974
95,268.5658510015346
96,268.2549930540845
97,277.0839220941998
98,278.9054450041149
99,282.90758170792844
100,282.77822825382464
