#{"batch_latencies":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_convAI/latencies.csv","bucketing":true,"buckets":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_convAI/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_convAI/1_x_P99/legacy_bucketing/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_convAI/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":55,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,21.4292,2.57078,11.5375,42.9821,40.4113,done,
1,15.2467,84.1523,92.5536,113.4,29.2473,done,
2,12.8818,166.183,174.504,192.209,26.0257,done,
3,10.8751,249.131,249.167,264.685,15.554,done,
4,22.2085,331.307,331.345,361.284,29.9764,done,
5,12.9793,413.844,422.27,440.502,26.6579,done,
6,14.2774,495.804,495.855,515.649,19.8451,done,
7,43.1402,578.12,578.167,634.795,56.6747,done,
8,55.6366,660.253,-1.63716e+12,710.292,50.0384,error,4
9,9.56681,742.602,-1.63716e+12,792.614,50.0117,error,4
10,26.3629,825.216,833.554,868.13,42.9142,done,
11,20.3098,907.172,915.541,942.399,35.2269,done,
12,27.4382,989.275,-1.63716e+12,1039.28,50.0069,error,4
13,27.1199,1071.57,-1.63716e+12,1121.61,50.034,error,4
14,10.9148,1152.53,1160.82,1175.6,23.063,done,
15,15.4681,1236.33,1236.39,1257.33,21.0019,done,
16,40.1236,1317.61,1325.91,1377.23,59.6222,done,
17,14.6224,1400.46,-1.63716e+12,1450.46,50.0023,error,4
18,27.7407,1482.87,-1.63716e+12,1532.9,50.025,error,4
19,10.5625,1565.13,-1.63716e+12,1615.14,50.015,error,4
20,8.80221,1647.28,-1.63716e+12,1697.28,49.9969,error,4
21,45.4742,1729.55,-1.63716e+12,1779.57,50.0256,error,4
22,44.9233,1811.8,-1.63716e+12,1861.82,50.0181,error,4
23,27.5143,1894.11,1902.36,1938.23,44.1239,done,
24,21.4079,1976.27,-1.63716e+12,2026.28,50.0162,error,4
25,28.9429,2057.75,2066.09,2103.42,45.6718,done,
26,10.1772,2140.03,2140.1,2154.17,14.1356,done,
27,50.7022,2222.96,-1.63716e+12,2272.96,50,error,4
28,11.3498,2304.62,2304.66,2320.14,15.525,done,
29,14.3336,2387.76,2387.82,2407.21,19.4508,done,
30,21.1511,2470.08,2470.15,2498.14,28.0538,done,
31,46.2663,2551.97,-1.63716e+12,2601.99,50.028,error,4
32,20.9319,2633.95,2642.27,2669.77,35.8112,done,
33,9.31979,2716.46,-1.63716e+12,2766.48,50.0155,error,4
34,11.3389,2798.74,2807.01,2822.72,23.9821,done,
35,25.9525,2880.18,2880.23,2913.9,33.72,done,
36,12.5214,2962.44,2962.48,2979.42,16.983,done,
37,68.7073,3045.48,-1.63716e+12,3095.49,50.0159,error,4
38,15.1629,3126.48,3126.52,3146.54,20.0676,done,
39,45.4555,3209.97,-1.63716e+12,3259.99,50.0199,error,4
40,9.77371,3292.22,-1.63716e+12,3342.23,50.0166,error,4
41,10.4673,3374.57,-1.63716e+12,3424.58,50.0055,error,4
42,6.01844,3456.68,-1.63716e+12,3506.7,50.0224,error,4
43,10.6102,3539.04,3539.09,3553.81,14.7761,done,
44,11.8735,3621.18,-1.63716e+12,3671.2,50.0276,error,4
45,24.6704,3703.42,-1.63716e+12,3753.46,50.0406,error,4
46,10.3812,3785.23,3785.28,3799.56,14.3342,done,
47,30.8414,3867.88,-1.63716e+12,3917.89,50.0092,error,4
48,19.0558,3950.14,-1.63716e+12,4000.16,50.0201,error,4
49,26.5951,4032.51,4032.55,4067.18,34.6722,done,
50,6.85246,4113.9,4113.96,4123.75,9.85074,done,
51,23.8497,4196.85,-1.63716e+12,4246.83,49.9756,error,4
52,14.9249,4279.17,-1.63716e+12,4329.19,50.0108,error,4
53,12.8217,4361.42,-1.63716e+12,4411.43,50.0069,error,4
54,14.435,4443.71,-1.63716e+12,4493.71,50.0044,error,4
55,7.83633,4525.91,-1.63716e+12,4575.93,50.0166,error,4
56,10.5946,4608.16,-1.63716e+12,4658.17,50.0115,error,4
57,30.2028,4690.44,-1.63716e+12,4740.45,50.0034,error,4
58,14.1916,4772.66,-1.63716e+12,4822.68,50.0194,error,4
59,17.9104,4854.21,4862.52,4886.83,32.623,done,
60,17.129,4937.25,-1.63716e+12,4987.27,50.0203,error,4
61,20.9883,5018.58,5018.61,5046.83,28.2468,done,
62,47.6899,5101.93,5101.97,5164.52,62.5895,done,
63,12.8753,5184.1,-1.63716e+12,5234.11,50.0052,error,4
64,35.5607,5266.29,5266.32,5309.31,43.0231,done,
65,7.30077,5348.3,-1.63716e+12,5398.31,50.0048,error,4
66,13.095,5430.61,-1.63716e+12,5480.63,50.0212,error,4
67,15.957,5513.12,-1.63716e+12,5563.14,50.0181,error,4
68,43.5471,5595.41,5603.71,5655.96,60.5541,done,
69,3.59321,5677.38,-1.63716e+12,5727.38,50.0056,error,4
70,44.9321,5759.76,-1.63716e+12,5809.78,50.0175,error,4
71,20.8388,5842,-1.63716e+12,5892.02,50.0171,error,4
72,10.3531,5923.83,5923.87,5937.42,13.5899,done,
73,12.5977,6005.13,6005.18,6021.04,15.9114,done,
74,12.5227,6088.53,-1.63716e+12,6138.55,50.0218,error,4
75,21.0944,6170.8,-1.63716e+12,6220.83,50.0264,error,4
76,16.7159,6253.04,-1.63716e+12,6303.05,50.0169,error,4
77,30.2249,6335.3,-1.63716e+12,6385.31,50.0076,error,4
78,15.4866,6417.2,6417.27,6436.7,19.4981,done,
79,23.4549,6498.61,6506.98,6535.34,36.7323,done,
80,40.3677,6582.05,-1.63716e+12,6632.06,50.0041,error,4
81,12.912,6664.3,-1.63716e+12,6714.31,50.0052,error,4
82,51.2286,6746.67,6746.72,6807.84,61.1675,done,
83,9.39815,6828.03,6828.08,6840.33,12.2948,done,
84,12.059,6911.01,-1.63716e+12,6961.02,50.0137,error,4
85,11.9549,6993.41,-1.63716e+12,7043.42,50.0117,error,4
86,1.30963,7075.61,-1.63716e+12,7125.61,50.009,error,4
87,4.74822,7157.89,-1.63716e+12,7207.91,50.0183,error,4
