#{"batch_latencies":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_cornell/latencies.csv","bucketing":true,"buckets":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_cornell/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_cornell/2_x_P99/legacy_bucketing/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/worldcup/LenScale_0.01/chatbot/gpt_cornell/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":131,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,12.1339,2.687,11.5661,31.0552,28.3682,done,
1,24.4535,118.634,126.934,159.485,40.8511,done,
2,13.0322,236.267,236.362,254.67,18.4032,done,
3,11.1298,353.291,353.352,369.102,15.8115,done,
4,23.3977,470.246,470.294,501.721,31.4748,done,
5,18.2333,587.145,587.196,612.028,24.8828,done,
6,19.1956,704.15,704.202,730.325,26.1751,done,
7,23.2087,819.888,828.243,858.953,39.0654,done,
8,17.1641,938.074,938.117,961.563,23.4889,done,
9,22.6789,1055.09,1055.15,1085.64,30.5467,done,
10,49.7802,1171.94,1172,1237.03,65.0988,done,
11,27.5266,1289,1289.04,1325.69,36.696,done,
12,49.4534,1404.71,1413.04,1477.24,72.5332,done,
13,79.04,1523.28,1531.6,1630.46,107.189,done,
14,65.6108,1639.42,1647.7,1725.38,85.9664,done,
15,22.6431,1757.11,1765.48,1790.96,33.8515,done,
16,53.9706,1873.78,1873.82,1931.8,58.013,done,
17,9.71191,1990.75,1990.79,2001.99,11.2395,done,
18,31.0811,2107.98,2116.28,2148.98,41.0004,done,
19,42.8774,2224.72,2224.77,2269.12,44.3978,done,
20,34.4262,2341.94,2342,2378.01,36.0746,done,
21,6.10786,2458.68,2458.73,2466.36,7.67411,done,
22,19.8321,2575.56,2575.6,2596.96,21.4046,done,
23,26.2508,2692.65,2692.71,2720.52,27.8745,done,
24,17.137,2809.52,2809.56,2828.24,18.7239,done,
25,27.6669,2926.77,2926.82,2956.08,29.315,done,
26,26.1102,3043.46,3043.5,3071.11,27.6515,done,
27,31.2922,3160.47,3160.52,3193.33,32.8606,done,
28,20.899,3277.46,3277.49,3299.89,22.43,done,
29,44.2176,3394.37,3394.41,3440.11,45.7408,done,
30,38.8603,3511.35,3511.39,3551.77,40.4215,done,
31,20.6699,3628.35,3628.39,3650.58,22.2319,done,
32,20.4971,3745.31,3745.35,3767.33,22.0218,done,
33,21.7131,3862.71,3862.76,3886.05,23.3368,done,
34,33.6394,3979.18,3979.22,4014.35,35.1699,done,
35,22.4042,4096.16,4096.22,4120.13,23.971,done,
36,9.67194,4213.48,4213.54,4224.86,11.3748,done,
37,52.536,4330.13,4330.17,4384.18,54.052,done,
38,25.3902,4447.04,4447.09,4474.01,26.9666,done,
39,11.7923,4564.06,4564.09,4577.37,13.3109,done,
40,9.13769,4681.19,4681.24,4691.84,10.6444,done,
41,28.4339,4796.95,4796.99,4826.51,29.5593,done,
42,14.7757,4914.95,4914.99,4931.29,16.335,done,
43,45.6113,5031.94,5031.98,5079.11,47.1755,done,
44,45.7402,5147.67,5147.7,5194.53,46.8631,done,
