BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
0,66,419,0,13.323436779901384,21.78946058091242,27
0,66,419,1,21.78946058091242,30.255484381923452,144
0,66,419,2,30.255484381923452,38.721508182934485,188
0,66,419,3,38.721508182934485,47.18753198394552,111
0,66,419,4,47.18753198394552,55.65355578495655,49
0,66,419,5,55.65355578495655,64.11957958596759,11
0,66,419,6,64.11957958596759,72.58560338697862,7
0,66,419,7,72.58560338697862,81.05162718798965,4
0,66,419,8,81.05162718798965,89.51765098900069,0
0,66,419,9,89.51765098900069,97.98367479001172,1
1,419,423,0,21.13463066983968,23.171959441853687,1
1,419,423,1,23.171959441853687,25.209288213867694,0
1,419,423,2,25.209288213867694,27.2466169858817,1
1,419,423,3,27.2466169858817,29.283945757895708,0
1,419,423,4,29.283945757895708,31.321274529909715,2
1,419,423,5,31.321274529909715,33.35860330192372,0
1,419,423,6,33.35860330192372,35.39593207393773,1
1,419,423,7,35.39593207393773,37.433260845951736,2
1,419,423,8,37.433260845951736,39.47058961796574,0
1,419,423,9,39.47058961796574,41.50791838997975,1
2,423,427,0,30.096891910070557,32.311124539060984,1
2,423,427,1,32.311124539060984,34.525357168051414,1
2,423,427,2,34.525357168051414,36.739589797041845,1
2,423,427,3,36.739589797041845,38.953822426032275,1
2,423,427,4,38.953822426032275,41.168055055022705,0
2,423,427,5,41.168055055022705,43.382287684013136,2
2,423,427,6,43.382287684013136,45.596520313003566,2
2,423,427,7,45.596520313003566,47.810752941994,3
2,423,427,8,47.810752941994,50.02498557098443,0
2,423,427,9,50.02498557098443,52.23921819997486,1
3,427,434,0,30.74462364020292,37.27078152622562,4
3,427,434,1,37.27078152622562,43.79693941224832,8
3,427,434,2,43.79693941224832,50.32309729827102,4
3,427,434,3,50.32309729827102,56.849255184293725,1
3,427,434,4,56.849255184293725,63.37541307031643,1
3,427,434,5,63.37541307031643,69.90157095633913,2
3,427,434,6,69.90157095633913,76.42772884236183,0
3,427,434,7,76.42772884236183,82.95388672838453,2
3,427,434,8,82.95388672838453,89.48004461440723,0
3,427,434,9,89.48004461440723,96.00620250042994,1
4,434,438,0,21.48406416992657,24.486726118891966,3
4,434,438,1,24.486726118891966,27.489388067857362,1
4,434,438,2,27.489388067857362,30.49205001682276,3
4,434,438,3,30.49205001682276,33.494711965788156,4
4,434,438,4,33.494711965788156,36.49737391475355,4
4,434,438,5,36.49737391475355,39.50003586371895,4
4,434,438,6,39.50003586371895,42.502697812684346,2
4,434,438,7,42.502697812684346,45.50535976164974,0
4,434,438,8,45.50535976164974,48.50802171061514,1
4,434,438,9,48.50802171061514,51.510683659580536,1
5,438,458,0,26.06910947011784,30.219088772137187,11
5,438,458,1,30.219088772137187,34.36906807415653,15
5,438,458,2,34.36906807415653,38.51904737617588,13
5,438,458,3,38.51904737617588,42.66902667819522,18
5,438,458,4,42.66902667819522,46.81900598021457,9
5,438,458,5,46.81900598021457,50.968985282233916,6
5,438,458,6,50.968985282233916,55.11896458425326,5
5,438,458,7,55.11896458425326,59.26894388627261,1
5,438,458,8,59.26894388627261,63.418923188291956,1
