#{"batch_latencies":"/workdir/DynWork/log/worldcup/LenScale_0.01/summarization/t5_cnn/latencies.csv","bucketing":false,"buckets":"/workdir/DynWork/log/worldcup/LenScale_0.01/summarization/t5_cnn/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/DynWork/log/worldcup/LenScale_0.01/summarization/t5_cnn/1.5_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/DynWork/log/worldcup/LenScale_0.01/summarization/t5_cnn/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":261,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,49.1639,2.55706,11.3103,78.2861,75.729,done,
1,46.9159,299.539,299.596,361.064,61.5257,done,
2,52.1697,596.75,596.831,665.04,68.2901,done,
3,61.8076,893.894,893.959,974.369,80.4755,done,
4,78.7743,1191.1,1191.14,1276.18,85.0811,done,
5,33.5308,1488.32,1488.38,1525.54,37.2204,done,
6,23.4439,1785.46,1785.51,1811.97,26.5144,done,
7,57.5093,2082.72,2082.76,2145.19,62.4635,done,
8,52.0502,2379.88,2379.92,2436.99,57.1062,done,
9,63.4181,2677.07,2677.11,2745.81,68.7423,done,
10,63.5458,2974.28,2974.32,3043.24,68.9614,done,
11,68.6319,3271.48,3271.52,3344.38,72.9058,done,
12,64.4898,3568.66,3568.72,3634.83,66.1735,done,
13,38.7324,3865.86,3865.91,3906.26,40.3971,done,
14,41.9246,4163.02,4163.07,4206.87,43.8522,done,
15,141.243,4460.25,4460.3,4603.13,142.881,done,
16,61.8627,4757.44,4757.48,4820.94,63.5031,done,
17,133.796,5054.73,5054.79,5190.12,135.383,done,
18,85.1921,5351.83,5351.88,5438.57,86.7427,done,
19,160.605,5649.17,5649.23,5811.39,162.211,done,
20,97.4653,5946.26,5946.31,6045.29,99.0269,done,
21,57.5388,6243.47,6243.5,6302.6,59.13,done,
22,53.2053,6540.57,6540.62,6595.37,54.8056,done,
23,84.9462,6837.82,6837.86,6924.37,86.5556,done,
24,39.148,7135.17,7135.22,7175.87,40.7007,done,
25,91.9019,7432.26,7432.31,7525.75,93.4812,done,
26,44.5442,7729.57,7729.61,7776.04,46.4636,done,
27,155.75,8026.64,8026.68,8183.96,157.323,done,
28,88.656,8323.8,8323.85,8414.02,90.2261,done,
29,48.8342,8621.03,8621.08,8671.5,50.4706,done,
30,63.8886,8918.16,8918.2,8983.76,65.6013,done,
31,48.2414,9215.41,9215.45,9265.25,49.8405,done,
32,36.7743,9512.56,9512.61,9550.94,38.3779,done,
33,65.8264,9809.78,9809.8,9877.15,67.3759,done,
34,61.2848,10107,10107,10169.8,62.8107,done,
35,78.3907,10404.2,10404.2,10484.1,79.9438,done,
36,29.0924,10701.3,10701.4,10732.1,30.746,done,
37,50.8407,10998.5,10998.6,11051,52.5011,done,
38,73.6301,11295.7,11295.8,11370.9,75.1845,done,
39,87.9272,11592.9,11593,11682.5,89.5377,done,
40,62.6461,11890.2,11890.2,11954.4,64.2116,done,
41,63.7898,12187.3,12187.4,12252.7,65.3247,done,
42,60.435,12484.5,12484.6,12546.5,62.011,done,
43,77.7764,12781.7,12781.7,12861,79.3273,done,
44,47.6113,13079,13079,13128.2,49.2368,done,
45,101.074,13376.1,13376.1,13478.7,102.634,done,
46,48.1077,13673.5,13673.5,13723.2,49.7408,done,
47,73.0272,13970.5,13970.5,14045.1,74.5786,done,
48,40.2958,14267.7,14267.7,14309.6,41.8686,done,
49,76.7994,14564.9,14564.9,14643.3,78.4227,done,
50,68.1456,14862.1,14862.1,14931.8,69.7621,done,
51,72.0842,15159.3,15159.3,15233,73.6739,done,
52,83.0682,15456.4,15456.4,15541,84.647,done,
53,64.9507,15753.7,15753.7,15820.8,67.102,done,
54,52.9372,16050.9,16051,16105.5,54.5653,done,
55,71.9598,16348,16348.1,16421.6,73.5572,done,
56,85.0103,16645.3,16645.3,16731.9,86.655,done,
57,46.9541,16942.4,16942.5,16991,48.6057,done,
58,73.9461,17239.7,17239.8,17315.2,75.5058,done,
59,60.0487,17536.9,17536.9,17598.5,61.6298,done,
60,53.2787,17834.1,17834.1,17888.9,54.8682,done,
61,98.148,18131.3,18131.3,18231,99.7261,done,
62,69.1058,18428.5,18428.6,18499.2,70.7233,done,
63,54.2767,18725.6,18725.6,18781.4,55.8422,done,
64,60.5778,19022.8,19022.9,19085,62.1478,done,
65,63.2756,19320,19320.1,19384.9,64.8981,done,
66,45.6332,19617.2,19617.3,19664.4,47.2071,done,
67,18.4999,19914.4,19914.5,19934.5,20.0853,done,
68,56.4176,20211.7,20211.8,20269.7,57.979,done,
69,110.481,20508.9,20509,20621,112.046,done,
70,71.3529,20806,20806.1,20878.9,72.9386,done,
71,53.6389,21103.2,21103.2,21158.3,55.1583,done,
72,79.3526,21400.4,21400.5,21481.4,80.9407,done,
73,56.9015,21697.5,21697.6,21756,58.4663,done,
74,54.1244,21994.8,21994.8,22050.5,55.734,done,
75,73.159,22292,22292.1,22366.7,74.7221,done,
76,67.0167,22589.1,22589.2,22657.7,68.5966,done,
77,62.2438,22886.6,22886.6,22950.4,63.812,done,
78,73.962,23183.6,23183.6,23259.1,75.5315,done,
79,65.1229,23480.8,23480.8,23547.5,66.7358,done,
80,62.0422,23778,23778,23841.6,63.5959,done,
81,50.1307,24075.1,24075.2,24126.9,51.7441,done,
82,32.8846,24372.4,24372.5,24407,34.5417,done,
83,100.278,24669.5,24669.6,24771.3,101.813,done,
84,46.7356,24966.7,24966.7,25015.1,48.3865,done,
85,61.2397,25264,25264,25326.8,62.8569,done,
86,59.5011,25561.2,25561.2,25622.3,61.1485,done,
87,113.685,25858.3,25858.4,25973.6,115.232,done,
88,28.5752,26155.6,26155.6,26185.8,30.1667,done,
89,55.2283,26304.1,26304.2,26360.9,56.8098,done,
90,55.1585,26452.7,26452.8,26509.5,56.8169,done,
91,39.0319,26601.3,26601.3,26641.9,40.6671,done,
92,107.2,26749.9,26749.9,26858.6,108.758,done,
93,90.7622,26898.5,26898.5,26990.9,92.3733,done,
94,64.1849,27047.1,27047.2,27112.9,65.7843,done,
95,64.534,27146.1,27146.2,27212.2,66.0461,done,
96,68.9819,27245.2,27245.3,27315.8,70.5756,done,
97,87.6041,27344.2,27344.3,27433.4,89.1828,done,
98,73.5944,27443.3,27443.4,27518.5,75.1618,done,
99,53.5895,27542.4,27542.4,27597.5,55.1373,done,
100,74.6396,27641.5,27641.6,27717.7,76.1714,done,
101,53.3776,27740.6,27740.6,27795.5,54.9161,done,
102,57.8096,27839.7,27839.7,27899,59.3912,done,
103,63.975,27938.6,27938.7,28004.2,65.5406,done,
104,69.8101,28013,28013,28084.3,71.3613,done,
105,93.0824,28087.3,28087.3,28182,94.7024,done,
106,62.2402,28161.5,28164.2,28244.3,82.8106,done,
107,96.1956,28235.8,28244.4,28342.1,106.305,done,
108,48.2643,28310.1,28327.4,28390.5,80.3847,done,
109,81.2531,28384.4,28390.5,28473.3,88.8629,done,
110,76.5809,28458.8,28473.3,28551.5,92.6974,done,
111,60.8452,28533,28551.5,28613.9,80.9637,done,
112,86.6369,28607.3,28614,28702.9,95.5796,done,
113,117.303,28681.7,28700.3,28820.3,138.641,done,
114,62.2038,28756,28789,28882.7,126.694,done,
115,54.8429,28830.2,28882.7,28939.1,108.889,done,
116,93.629,28904.7,28939.1,29034.3,129.556,done,
117,135.447,28979,29034.3,29171.3,192.356,done,
118,43.7536,29053.2,29139.9,29281.2,227.985,done,
119,109.711,29127.5,29139.9,29281.2,153.758,done,
120,32.7581,29201.8,29223.3,29314.1,112.313,done,
121,207.877,29276,29314.1,29523.6,247.567,done,
122,99.2831,29350.4,29438.4,29623.1,272.711,done,
123,52.173,29424.6,29438.4,29623.1,198.445,done,
124,62.1619,29484.1,29623.1,29755.2,271.103,done,
125,129.826,29543.5,29623.1,29755.2,211.704,done,
126,39.8841,29602.9,29723,29796.5,193.553,done,
127,41.0966,29662.4,29723,29796.5,134.101,done,
129,52.6599,29781.3,29796.5,29851.5,70.2113,done,
130,73.5167,29840.7,29851.5,29926.6,85.9029,done,
128,126.347,29721.8,-1.63796e+12,29977.9,256.023,error,7
131,118.169,29900.1,29926.6,30046.3,146.236,done,
133,83.3771,30019,30046.3,30131.3,112.248,done,
135,69.7165,30118.1,30131.3,30202.5,84.4434,done,
132,104.324,29959.7,-1.63796e+12,30215.7,256.022,error,7
136,56.4886,30167.7,30202.5,30260.6,92.9085,done,
134,63.1818,30068.6,-1.63796e+12,30324.6,256.039,error,7
137,64.4538,30217.1,30260.6,30326.5,109.437,done,
139,72.8414,30316.2,30326.6,30401.6,85.3501,done,
140,98.2185,30375.6,30401.6,30502,126.412,done,
138,52.0266,30266.7,-1.63796e+12,30522.7,256.004,error,7
142,44.2681,30494.5,30502.1,30548,53.4366,done,
143,77.6949,30554.1,30554.1,30633.4,79.2835,done,
144,31.5829,30613.4,30633.4,30667.2,53.7842,done,
141,64.3773,30435.1,-1.63796e+12,30691.2,256.016,error,7
145,59.0537,30662.9,30667.2,30727.8,64.8384,done,
146,60.8122,30712.5,30727.8,30790.2,77.7033,done,
147,43.1351,30762,30790.2,30834.8,72.7967,done,
148,64.411,30811.5,30834.8,30900.8,89.2756,done,
149,85.2442,30861.1,30900.8,30987.6,126.479,done,
150,67.798,30910.6,30987.6,31057.7,147.077,done,
151,65.6826,30960.1,30987.6,31057.7,97.6162,done,
152,78.2986,31009.7,31057.7,31138.3,128.657,done,
153,55.3903,31059.3,31138.4,31202.8,143.555,done,
154,62.2293,31108.7,31138.4,31202.8,94.1303,done,
155,51.7394,31158.3,31202.8,31256.7,98.4528,done,
156,49.2295,31207.8,31256.7,31307.5,99.689,done,
157,44.5701,31267.3,31307.5,31355.3,88.0959,done,
158,81.9424,31326.7,31355.4,31439.5,112.808,done,
159,61.4535,31386.1,31430.5,31501,114.896,done,
160,45.4828,31445.6,31501.1,31548.1,102.474,done,
161,136.876,31505,31548.1,31686.6,181.588,done,
162,52.5753,31554.5,31623.5,31782.5,228.036,done,
163,95.8267,31604,31623.5,31782.5,178.481,done,
164,46.7618,31653.7,-1.63796e+12,31909.7,256.013,error,7
165,53.3796,31703.1,31782.5,31988.9,285.79,done,
166,201.11,31752.7,31782.5,31988.9,236.267,done,
167,55.2763,31802.2,31901.6,32146.1,343.843,done,
168,157.014,31861.7,31901.6,32146.1,284.404,done,
169,47.584,31921,-1.63796e+12,32177.1,256.02,error,7
171,87.3186,32039.9,32107.7,32233.5,193.583,done,
170,104.664,31980.6,-1.63796e+12,32236.6,256.021,error,7
173,100.725,32158.9,32233.6,32335.8,176.859,done,
172,143.019,32099.4,-1.63796e+12,32355.4,255.984,error,7
174,54.6456,32218.3,32335.8,32392.6,174.264,done,
175,66.1231,32277.7,32392.6,32460.9,183.112,done,
177,39.524,32396.6,32460.9,32501.9,105.297,done,
178,50.1265,32446.1,32502,32553.6,107.473,done,
179,29.7721,32495.6,32553.6,32584.9,89.2738,done,
176,110.591,32337.3,-1.63796e+12,32593.3,256.006,error,7
180,65.9623,32545.1,32594.9,32662.4,117.25,done,
181,45.0584,32594.8,32662.4,32709,114.178,done,
182,75.5732,32644.2,32709,32786.1,141.902,done,
184,65.4384,32736.3,32786.1,32853.8,117.524,done,
185,50.3256,32778.7,32786.1,32853.8,75.0516,done,
186,77.603,32821.3,32853.8,32934.5,113.213,done,
183,59.2629,32693.8,-1.63796e+12,32949.8,256.005,error,7
187,115.892,32863.6,32934.5,33052,188.339,done,
188,131.459,32906.1,33023.6,33183.6,277.485,done,
189,74.2011,32948.5,-1.63796e+12,33204.5,256.01,error,7
190,85.921,32991,33140.9,33281.3,290.364,done,
191,97.3883,33040.7,33140.9,33281.3,240.625,done,
192,53.7421,33090,33140.9,33281.3,191.349,done,
193,52.3607,33139.7,33140.9,33281.3,141.614,done,
194,75.0556,33189.1,33236.5,33356.5,167.359,done,
195,97.7906,33238.6,33356.5,33455.9,217.293,done,
198,30.4883,33373.1,33456,33488,114.948,done,
199,52.0883,33415.8,33488,33541.8,126.023,done,
196,78.1484,33288.2,-1.63796e+12,33544.2,256.02,error,7
197,68.5968,33330.6,-1.63796e+12,33586.7,256.007,error,7
200,76.1694,33458.1,33541.8,33619.6,161.552,done,
201,61.3941,33500.5,33619.6,33682.5,182.069,done,
204,56.7153,33627.9,33682.6,33741.5,113.639,done,
205,31.013,33670.2,33682.6,33741.5,71.2995,done,
202,42.3082,33543.2,-1.63796e+12,33799.3,256.058,error,7
203,96.7576,33585.3,-1.63796e+12,33841.4,256.006,error,7
206,103.281,33712.7,33741.5,33847,134.294,done,
208,80.7823,33797.7,33847,33930,132.28,done,
209,65.644,33840.1,33847,33930,89.8985,done,
210,56.6513,33882.6,33930,33989,106.42,done,
211,41.9152,33925,33930,33989,64.007,done,
207,99.6135,33755.2,-1.63796e+12,34011.2,256.03,error,7
212,86.2533,33967.5,33989,34077.6,110.094,done,
213,85.508,34010,34077.6,34164.6,154.591,done,
214,53.4145,34052.4,34164.7,34221.4,169.02,done,
215,143.88,34094.8,34221.4,34367.1,272.246,done,
216,70.7412,34137.5,-1.63796e+12,34393.5,256.009,error,7
