#{"batch_latencies":"/workdir/Trace/workload/batch/summarization/summarization_bart_cnn_batch_tmp.csv","bucketing":false,"buckets":"/workdir/Trace/log/worldcup/summarization/bart_cnn/buckets.csv","debug":false,"host":"localhost","max_b":8,"num_io":5,"output":"/workdir/Trace/log/worldcup/summarization/bart_cnn/2_x_P99/clockwork/output.csv","port":"12346","prepare_only":false,"reqs":"/workdir/Trace/log/worldcup/summarization/bart_cnn/jobs.bucketed.csv","shared_tmp":"/workdir/models","shepherd_bucketing":false,"slo_ms":1483,"verbose":false}
JobId,Length,Admitted,Started,Finished,Latency,State,EStatus
0,235.905,2.61513,11.4813,303.453,300.838,done,
1,261.304,804.18,804.261,1076.47,272.288,done,
2,315.205,1605.82,1605.86,1922.63,316.811,done,
3,368.553,2407.63,2407.68,2777.73,370.106,done,
4,299.232,3209.28,3209.31,3510.11,300.834,done,
5,400.511,4011,4011.06,4413.1,402.1,done,
6,379.658,4812.74,4812.78,5193.93,381.189,done,
7,461.808,5614.35,5614.38,6077.73,463.382,done,
8,254.051,6416.09,6416.14,6671.75,255.659,done,
9,272.244,7217.83,7217.88,7491.63,273.8,done,
10,407.898,8019.56,8019.61,8429.14,409.584,done,
11,314.425,8821.32,8821.36,9137.33,316.009,done,
12,213.689,9623.06,9623.12,9838.36,215.3,done,
13,609.622,10424.7,10424.8,11035.9,611.163,done,
14,273.912,11226.4,11226.4,11501.9,275.457,done,
15,482.489,12028.3,12028.4,12512.3,483.981,done,
16,615.976,12829.9,12829.9,13447.4,617.567,done,
17,392.407,13631.6,13631.7,14025.5,393.893,done,
18,409.18,14433.3,14433.3,14844,410.696,done,
19,236.747,15235,15235.1,15473.3,238.306,done,
20,353.171,16036.8,16036.9,16391.5,354.738,done,
21,337.334,16838.6,16838.7,17177.5,338.837,done,
22,476.441,17640.2,17640.3,18118.2,477.965,done,
23,332.283,18441.9,18442,18775.8,333.839,done,
24,330.563,19243.7,19243.7,19575.8,332.111,done,
25,337.709,20045.4,20045.4,20384.6,339.266,done,
26,460.177,20847.2,20847.2,21308.9,461.717,done,
27,373.766,21648.9,21648.9,22024.2,375.29,done,
28,254.781,22450.5,22450.6,22706.9,256.338,done,
29,427.753,23252.3,23252.3,23681.6,429.295,done,
30,381.608,24054,24054,24437.1,383.105,done,
31,426.903,24855.8,24855.8,25284.2,428.469,done,
32,349.924,25657.4,25657.5,26009.3,351.886,done,
33,261.593,26459.2,26459.2,26722.3,263.152,done,
34,328.351,27260.8,27260.9,27590.7,329.871,done,
35,224.677,28062.6,28062.6,28288.8,226.239,done,
36,316.211,28864.3,28864.3,29182,317.704,done,
37,209.157,29666.1,29666.1,29876.8,210.733,done,
38,199.189,30467.8,30467.8,30668.5,200.786,done,
39,258.131,31269.5,31269.5,31529.1,259.674,done,
40,373.36,32071.2,32071.2,32446.1,374.899,done,
41,222.293,32873,32873,33096.8,223.808,done,
42,697.873,33674.7,33674.7,34374.1,699.44,done,
43,309.434,34476.4,34476.4,34787.4,311.037,done,
44,401.67,35278.1,35278.2,35681.3,403.179,done,
45,455.627,36079.8,36079.8,36536.9,457.188,done,
46,253.845,36881.6,36881.6,37137,255.402,done,
47,393.11,37683.2,37683.3,38077.9,394.65,done,
48,232.837,38484.9,38485,38719.3,234.392,done,
49,278.818,39286.6,39286.7,39566.9,280.336,done,
50,699.93,40088.5,40088.6,40790,701.423,done,
51,419.836,40890.1,40890.1,41311.4,421.335,done,
52,302.565,41691.8,41691.9,41996.1,304.298,done,
53,329.391,42493.5,42493.6,42824.5,330.927,done,
54,429.803,43295.3,43295.3,43726.6,431.319,done,
55,627.346,44097,44097,44725.8,628.876,done,
56,279.678,44898.8,44898.8,45180,281.259,done,
57,387.034,45700.5,45700.5,46089,388.551,done,
58,433.095,46502.2,46502.2,46936.9,434.668,done,
59,342.523,47303.9,47304,47648,344.062,done,
60,264.109,48105.6,48105.7,48371.3,265.695,done,
61,343.783,48907.3,48907.3,49252.7,345.393,done,
62,510.641,49709,49709.1,50221.2,512.154,done,
63,472.909,50510.8,50510.8,50985.3,474.495,done,
64,363.334,51312.6,51312.6,51677.5,364.966,done,
65,434.183,52114.2,52114.2,52549.9,435.711,done,
66,244.609,52916,52916,53162.1,246.121,done,
67,344.232,53717.7,53717.7,54063.5,345.846,done,
68,318.18,54519.4,54519.4,54839.2,319.78,done,
69,720.519,55321.2,55321.2,56043.2,722.053,done,
70,304.303,56122.8,56122.9,56428.7,305.863,done,
71,304.967,56924.6,56924.7,57231.2,306.513,done,
72,306.334,57726.2,57726.2,58034.1,307.898,done,
73,369.242,58528,58528,58898.7,370.752,done,
74,318.032,59329.7,59329.8,59649.3,319.61,done,
75,522.793,60131.5,60131.6,60655.8,524.325,done,
76,615.649,60933.1,60933.1,61550.2,617.111,done,
77,413.179,61734.8,61734.9,62149.5,414.677,done,
78,217.68,62536.6,62536.6,62755.8,219.245,done,
79,424.12,63338.3,63338.3,63764,425.675,done,
