BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
0,90,680,0,1483.811,1901.113,1
0,90,680,1,1901.113,2318.415,11
0,90,680,2,2318.415,2735.717,32
0,90,680,3,2735.717,3153.019,63
0,90,680,4,3153.019,3570.321,84
0,90,680,5,3570.321,3987.623,98
0,90,680,6,3987.623,4404.925,84
0,90,680,7,4404.925,4822.227,60
0,90,680,8,4822.227,5239.529,46
0,90,680,9,5239.529,5656.831,34
0,90,680,10,5656.831,6074.133,22
0,90,680,11,6074.133,6491.434,18
0,90,680,12,6491.434,6908.736,9
0,90,680,13,6908.736,7326.038,6
0,90,680,14,7326.038,7743.34,5
0,90,680,15,7743.34,8160.642,4
0,90,680,16,8160.642,8577.944,3
0,90,680,17,8577.944,8995.246,1
0,90,680,18,8995.246,9412.548,2
0,90,680,19,9412.548,9838.196,1
1,680,683,0,4733.795,4927.817,1
1,680,683,1,4927.817,5121.838,0
1,680,683,2,5121.838,5315.859,0
1,680,683,3,5315.859,5509.88,0
1,680,683,4,5509.88,5703.902,0
1,680,683,5,5703.902,5897.923,0
1,680,683,6,5897.923,6091.944,0
1,680,683,7,6091.944,6285.965,1
1,680,683,8,6285.965,6479.987,0
1,680,683,9,6479.987,6674.008,0
1,680,683,10,6674.008,6868.029,0
1,680,683,11,6868.029,7062.05,0
1,680,683,12,7062.05,7256.072,0
1,680,683,13,7256.072,7450.093,0
1,680,683,14,7450.093,7644.114,0
1,680,683,15,7644.114,7838.135,0
1,680,683,16,7838.135,8032.157,0
1,680,683,17,8032.157,8226.178,0
1,680,683,18,8226.178,8420.199,0
1,680,683,19,8420.199,8618.101,1
2,683,693,0,2690.79,2922.682,1
2,683,693,1,2922.682,3154.573,3
2,683,693,2,3154.573,3386.464,0
2,683,693,3,3386.464,3618.355,1
2,683,693,4,3618.355,3850.247,3
2,683,693,5,3850.247,4082.138,0
2,683,693,6,4082.138,4314.029,2
2,683,693,7,4314.029,4545.921,2
2,683,693,8,4545.921,4777.812,0
2,683,693,9,4777.812,5009.703,0
2,683,693,10,5009.703,5241.595,1
2,683,693,11,5241.595,5473.486,0
2,683,693,12,5473.486,5705.377,0
2,683,693,13,5705.377,5937.269,1
2,683,693,14,5937.269,6169.16,1
2,683,693,15,6169.16,6401.051,0
2,683,693,16,6401.051,6632.943,0
2,683,693,17,6632.943,6864.834,0
2,683,693,18,6864.834,7096.725,0
2,683,693,19,7096.725,7333.255,1
3,693,752,0,2504.791,2790.893,2
3,693,752,1,2790.893,3076.995,0
3,693,752,2,3076.995,3363.096,2
3,693,752,3,3363.096,3649.198,4
3,693,752,4,3649.198,3935.3,7
3,693,752,5,3935.3,4221.402,6
3,693,752,6,4221.402,4507.504,6
3,693,752,7,4507.504,4793.605,8
3,693,752,8,4793.605,5079.707,9
3,693,752,9,5079.707,5365.809,7
3,693,752,10,5365.809,5651.911,8
3,693,752,11,5651.911,5938.013,5
3,693,752,12,5938.013,6224.115,5
3,693,752,13,6224.115,6510.216,6
3,693,752,14,6510.216,6796.318,4
3,693,752,15,6796.318,7082.42,3
3,693,752,16,7082.42,7368.522,1
3,693,752,17,7368.522,7654.624,3
3,693,752,18,7654.624,7940.725,0
3,693,752,19,7940.725,8232.549,2
4,752,753,0,6107.39,6273.8,1
4,752,753,1,6273.8,6440.209,0
4,752,753,2,6440.209,6606.618,0
4,752,753,3,6606.618,6773.027,0
4,752,753,4,6773.027,6939.437,0
4,752,753,5,6939.437,7105.846,0
4,752,753,6,7105.846,7272.255,0
4,752,753,7,7272.255,7438.665,0
4,752,753,8,7438.665,7605.074,0
4,752,753,9,7605.074,7771.483,0
4,752,753,10,7771.483,7937.892,0
4,752,753,11,7937.892,8104.302,0
4,752,753,12,8104.302,8270.711,0
4,752,753,13,8270.711,8437.12,0
4,752,753,14,8437.12,8603.53,0
4,752,753,15,8603.53,8769.939,0
4,752,753,16,8769.939,8936.348,0
4,752,753,17,8936.348,9102.757,0
4,752,753,18,9102.757,9269.167,0
4,752,753,19,9269.167,9438.904,1
5,753,764,0,3602.391,3682.333,2
5,753,764,1,3682.333,3762.274,0
5,753,764,2,3762.274,3842.215,0
5,753,764,3,3842.215,3922.157,0
5,753,764,4,3922.157,4002.098,0
5,753,764,5,4002.098,4082.039,0
5,753,764,6,4082.039,4161.981,0
5,753,764,7,4161.981,4241.922,2
5,753,764,8,4241.922,4321.863,0
5,753,764,9,4321.863,4401.805,1
5,753,764,10,4401.805,4481.746,0
5,753,764,11,4481.746,4561.687,0
5,753,764,12,4561.687,4641.629,1
5,753,764,13,4641.629,4721.57,0
5,753,764,14,4721.57,4801.511,2
5,753,764,15,4801.511,4881.453,0
5,753,764,16,4881.453,4961.394,0
5,753,764,17,4961.394,5041.335,0
5,753,764,18,5041.335,5121.277,2
5,753,764,19,5121.277,5202.817,1
6,764,778,0,2149.261,2622.22,1
6,764,778,1,2622.22,3095.179,0
6,764,778,2,3095.179,3568.139,0
6,764,778,3,3568.139,4041.098,2
6,764,778,4,4041.098,4514.058,1
6,764,778,5,4514.058,4987.017,1
6,764,778,6,4987.017,5459.976,4
6,764,778,7,5459.976,5932.936,4
6,764,778,8,5932.936,6405.895,2
6,764,778,9,6405.895,6878.854,1
6,764,778,10,6878.854,7351.814,2
6,764,778,11,7351.814,7824.773,1
6,764,778,12,7824.773,8297.733,1
6,764,778,13,8297.733,8770.692,0
6,764,778,14,8770.692,9243.651,1
6,764,778,15,9243.651,9716.611,0
6,764,778,16,9716.611,10189.57,0
6,764,778,17,10189.57,10662.53,0
6,764,778,18,10662.53,11135.489,0
6,764,778,19,11135.489,11617.908,1
7,778,786,0,2877.934,3082.009,1
7,778,786,1,3082.009,3286.084,0
7,778,786,2,3286.084,3490.158,1
7,778,786,3,3490.158,3694.233,0
