# {"debug": false, "pause": false, "output": "/home/cc/DynWork/multimodal_dataset/repeat-1/Multimodal/Azure/incoming_rate_36.36/Modal_num/seven_modal/3_x_P99/clipper", "slo_us": 297000, "batch_size": 8, "reqs": "/home/cc/DynWork/multimodal_dataset/repeat-1/Multimodal/Azure/incoming_rate_36.36/Modal_num/seven_modal/jobs.bucketed.csv", "latencies": "/home/cc/DynWork/multimodal_dataset/repeat-1/Multimodal/Azure/incoming_rate_36.36/Modal_num/seven_modal/latencies.csv"}
JobId,Length,Admitted,Started,Finished,Latency,State,EName
0,98.58726676908384,0.0,14.648222982883452,118.02909596730024,103.38087298441678,done,
1,84.51357887702223,26.96078431372549,41.613488018512726,248.373618026264,206.7601300077513,done,
2,40.62006934871874,53.92156862745098,68.57928401231766,248.71216499386355,180.1328809815459,done,
3,69.47044817687566,80.88235294117646,95.54340702295303,248.92661004839465,153.38320302544162,done,
4,84.75329597702415,107.84313725490196,122.50818502902985,420.3269660221413,297.81878099311143,past_due,
5,25.76254469510245,134.80392156862746,149.47234600782394,447.3386600171216,297.86631400929764,past_due,
6,54.93094315559708,161.76470588235293,176.43657702207565,451.88201006455347,275.4454330424778,done,
7,99.05200113705796,188.72549019607845,230.36639201641083,452.04506402555853,221.6786720091477,done,
8,69.30196345752637,215.68627450980392,203.4013090133667,452.21932399459183,248.81801498122516,done,
9,25.795538229166887,242.64705882352945,257.33041501045227,555.3075440078974,297.9771289974451,past_due,
10,98.93048848973856,269.6078431372549,284.2951760292053,581.6927740713581,297.3975980421528,past_due,
11,84.30431475479006,296.5686274509804,311.2593230009079,609.3639309667051,298.1046079657972,past_due,
12,40.3538387049916,323.52941176470586,338.2266049981117,637.3468070183881,299.12020202027634,past_due,
13,40.81563412209947,350.4901960784314,365.1907450556755,663.1822410426103,297.99149598693475,past_due,
14,25.613043899603053,377.4509803921569,392.1561170220375,690.8731760424562,298.7170590204187,past_due,
15,25.95577435217705,404.4117647058824,419.1207919716835,717.4940129839815,298.373221012298,past_due,
16,69.26244479642425,431.3725490196079,446.0851600170136,732.7180180591532,286.6328580421396,done,
17,25.67436402129849,458.3333333333333,473.04891604185104,770.5036029936746,297.45468695182353,past_due,
18,26.12629033393016,485.2941176470589,500.014712035656,798.0542510543019,298.0395390186459,past_due,
19,98.65911368222112,512.2549019607843,526.9784380197525,824.4787080311216,297.50027001136914,past_due,
20,98.90608133852815,539.2156862745098,553.943805038929,851.8294240264222,297.8856189874932,past_due,
21,54.97470663021284,566.1764705882352,580.9079779982567,878.21325298585,297.3052749875933,past_due,
22,83.98724687341313,593.1372549019608,607.8738820552826,905.7586220488884,297.88473999360576,past_due,
23,54.96828534831553,620.0980392156863,634.8389040231705,932.6612330642529,297.8223290410824,past_due,
24,55.20205520795201,647.0588235294117,661.8044340014458,959.4255410213955,297.6211070199497,past_due,
25,98.3749570519624,674.0196078431372,688.7692779898643,988.4086309946142,299.63935300474986,past_due,
26,69.69144541280838,700.9803921568628,715.7330930233002,1013.9242990291677,298.1912060058676,past_due,
27,84.2284452213176,727.9411764705883,742.6986829638481,1040.58862596564,297.88994300179183,past_due,
28,39.97492348996949,754.9019607843137,769.6630619764328,1068.1683539594524,298.5052919830196,past_due,
29,25.5033931624706,781.8627450980392,796.6287280321121,1094.3304620338604,297.70173400174826,past_due,
30,55.2495438136632,808.8235294117648,823.5930140018463,1121.9582560244016,298.3652420225553,past_due,
31,84.49987655044967,835.7843137254902,850.559150993824,1148.568380992394,298.00922999856994,past_due,
32,55.25520075210844,862.7450980392157,877.522743999958,1175.6836389484815,298.1608949485235,past_due,
33,10.995440734281225,889.7058823529412,904.488795042038,1202.3724340959452,297.88363905390725,past_due,
34,55.02806711671808,916.6666666666666,931.4540640115738,1229.9666499965824,298.5125859850086,past_due,
35,84.4854936148098,943.6274509803922,958.4194009900092,1256.4156070244499,297.99620603444055,past_due,
36,25.946425016050835,970.5882352941176,985.7561079859734,1284.3165839747526,298.5604759887792,past_due,
37,69.65064620551848,997.5490196078432,1012.7240999937056,1309.9601899958216,297.2360900021158,past_due,
38,84.10459622950643,1024.5098039215686,1039.688128054142,1337.6478400388733,297.95971198473126,past_due,
39,98.89278582568812,1051.470588235294,1066.654837012291,1364.444814002607,297.78997699031606,past_due,
40,84.28725951476125,1078.4313725490197,1093.621085047722,1391.3947130194867,297.77362797176465,past_due,
41,54.82913429881372,1105.3921568627452,1120.5874429941175,1418.136138985399,297.5486959912814,past_due,
42,98.8525438719396,1132.3529411764705,1147.5523480176926,1444.8081140136346,297.25576599594206,past_due,
43,69.69376279939877,1159.313725490196,1174.5172320604324,1471.8115160446614,297.29428398422897,past_due,
44,84.54418399805589,1186.2745098039215,1201.4811390042305,1498.6802509599365,297.19911195570603,past_due,
45,84.28111711393879,1213.235294117647,1228.4482620358467,1525.976693029981,297.5284309941344,past_due,
46,99.09711399944,1240.1960784313726,1255.412597000599,1552.7516490207054,297.33905202010646,past_due,
47,40.50366247101885,1267.156862745098,1282.37933498621,1584.1809180174025,301.8015830311924,past_due,
48,84.24853537948268,1294.1176470588234,1309.3423979878426,1608.4246389507316,299.08224096288905,past_due,
49,25.928950799107785,1321.078431372549,1336.3087990283966,1633.7331700334325,297.42437100503594,past_due,
50,99.02162482186408,1348.0392156862745,1363.2906339764595,1660.7141300039366,297.4234960274771,past_due,
51,10.902086172176556,1375.0,1390.2697170376778,1687.6211350425147,297.3514180048369,past_due,
52,40.673086348213005,1399.122807017544,1414.395289003849,1711.5696390131488,297.1743500092998,past_due,
53,84.22191128493208,1423.2456140350878,1438.5217630267143,1735.9158150581643,297.39405203145,past_due,
54,69.70450671639014,1447.3684210526317,1462.6485970020294,1760.0622139670886,297.4136169650592,past_due,
55,98.84017284643444,1471.491228070175,1486.7749690413475,1784.0100270216353,297.2350579802878,past_due,
56,11.408595342033449,1495.6140350877192,1510.9017279744148,1808.1939710234292,297.2922430490144,past_due,
57,98.93273885528944,1519.7368421052631,1535.0326939821243,1832.3098720153794,297.27717803325504,past_due,
58,99.37367644641006,1543.859649122807,1559.1760370135307,1856.6630140249617,297.486977011431,past_due,
59,10.91294636111112,1567.982456140351,1583.3033090233805,1881.9115910222756,298.6082819988951,past_due,
60,98.8746719767922,1592.1052631578948,1607.4296390414238,1904.6942790281028,297.26463998667896,past_due,
61,11.539547209920077,1616.2280701754387,1631.562077045441,1928.9921290599743,297.43005201453343,past_due,
62,11.965365587604731,1640.3508771929824,1655.6889320611954,1953.1000400432386,297.4111079820432,past_due,
63,26.01039369037237,1664.4736842105262,1679.8155860304832,1977.2460860693827,297.4305000388995,past_due,
64,98.72291762942494,1688.59649122807,1703.941792011261,2001.381259988062,297.4394679768011,past_due,
65,69.81433371694763,1712.719298245614,1728.067880988121,2025.5673509933986,297.49947000527754,past_due,
66,98.70099411759978,1736.842105263158,1752.1944770216942,2049.5065079978667,297.31203097617254,past_due,
67,25.65699612695585,1760.9649122807018,1776.3210200071337,2073.7422459940426,297.4212259869091,past_due,
68,40.349708230624415,1785.0877192982457,1800.4512090086937,2097.6402310156263,297.18902200693265,past_due,
69,69.18959762232745,1809.2105263157896,1824.5782150030136,2121.985083953943,297.4068689509295,past_due,
70,26.09425860788905,1833.3333333333333,1848.705406010151,2145.7808479904197,297.0754419802688,past_due,
71,11.346954210461073,1857.4561403508767,1872.8359850049017,2170.180265004281,297.34427999937907,past_due,
72,10.86381595554449,1881.578947368421,1896.9620850086208,2194.113971983082,297.1518869744614,past_due,
73,40.568018175005065,1905.701754385965,1921.0878460407257,2218.3287730412558,297.24092700053006,past_due,
74,83.8316408477146,1929.8245614035088,1945.2133319973943,2242.4514280101284,297.2380960127339,past_due,
75,99.0639789328916,1953.9473684210525,1969.3390850424769,2266.533909014426,297.1948239719495,past_due,
76,40.79895398322101,1978.0701754385964,1993.4649460315704,2290.781486005988,297.31653997441754,past_due,
77,55.14331162806631,2002.1929824561405,2017.5912289619448,2315.0367739349604,297.4455449730158,past_due,
