# {"no_nexus": false, "image": "Chihuahua1_bvdb.jpg", "bindir": "/tmp/build/nexus-bin", "slo_ms": 443, "debug": false, "latencies": "/workdir/DynWork/multimodal_dataset/repeat-5/Multimodal/Azure/incoming_rate_36.36/Equal_Std/std_1/latencies.csv", "maxb": 8, "outdir": "/workdir/DynWork/multimodal_dataset/repeat-5/Multimodal/Azure/incoming_rate_36.36/Equal_Std/std_1/5_x_P99/nexus", "pause": false, "reqs": "/workdir/DynWork/multimodal_dataset/repeat-5/Multimodal/Azure/incoming_rate_36.36/Equal_Std/std_1/jobs.bucketed.csv", "reproducibility": {"command_line": "python dynamic_test.py --slo_ms 443 --maxb 8 --bindir /tmp/build/nexus-bin Chihuahua1_bvdb.jpg /workdir/DynWork/multimodal_dataset/repeat-5/Multimodal/Azure/incoming_rate_36.36/Equal_Std/std_1/jobs.bucketed.csv /workdir/DynWork/multimodal_dataset/repeat-5/Multimodal/Azure/incoming_rate_36.36/Equal_Std/std_1/latencies.csv /workdir/DynWork/multimodal_dataset/repeat-5/Multimodal/Azure/incoming_rate_36.36/Equal_Std/std_1/5_x_P99/nexus", "time": "Sat Apr  2 22:12:46 2022", "git_root": "/workdir/nexus", "git_url": "https://github.com/Aetf/nexus/tree/660705b33cdfaa936d8aa5d1e41166826dbfe4e7", "git_has_uncommitted_changes": false}}
JobId,Length,Admitted,Started,Finished,Latency,State,EName
0,35.166020155671525,0.0,1.63782599568367,45.47782599568367,43.84,done,
1,29.097978308178853,22.0,24.396597996354103,74.75459799635411,50.358,done,
2,79.23262625360499,43.99999999999999,46.45957699418068,154.70957699418068,108.25,done,
3,45.906312373644205,65.99999999999999,69.02530600130558,288.5813060013056,219.556,done,
4,67.45757675621368,87.99999999999999,92.08950799703598,289.053507997036,196.964,done,
5,75.20833753242817,110.0,114.7566819936037,289.06268199360375,174.306,done,
6,44.689962287002935,131.99999999999997,137.6971379816532,289.3141379816532,151.617,done,
7,49.268081330338944,153.99999999999997,160.84227499365807,444.17227499365805,283.33,done,
8,27.013440160916844,175.99999999999997,183.70793698728085,444.5019369872808,260.794,done,
9,75.89697383558762,198.0,206.64822098612785,444.60422098612787,237.956,done,
10,54.24742330317135,220.0,229.6964989900589,444.8644989900589,215.168,done,
11,40.567126114829314,247.5,257.6806909888983,445.39369098889824,187.713,done,
12,28.78887146348305,274.99999999999994,285.5306569933892,622.6786569933893,337.148,done,
13,32.642536667842734,302.49999999999994,342.19677099585533,623.2477709958553,281.051,done,
14,34.98931691669333,329.99999999999994,387.7503049969673,623.1933049969673,235.443,done,
15,40.801501429139726,351.99999999999994,410.30314099788666,623.4621409978866,213.159,done,
16,29.634859318228944,374.0,568.7249589860439,834.545958986044,265.821,done,
17,77.27085547535081,396.0,313.5079279989004,623.7479279989004,310.24,done,
