# {"bindir": "/tmp/build/nexus-bin", "pause": false, "maxb": 8, "latencies": "/workdir/DynWork/multimodal_dataset_gpu/repeat-3/Multimodal_Real_Dataset/Azure/chatbot/gpt_cornell/latencies.csv", "outdir": "/workdir/DynWork/multimodal_dataset_gpu/repeat-3/Multimodal_Real_Dataset/Azure/chatbot/gpt_cornell/1.5_x_P99/nexus", "slo_ms": 242, "image": "Chihuahua1_bvdb.jpg", "reqs": "/workdir/DynWork/multimodal_dataset_gpu/repeat-3/Multimodal_Real_Dataset/Azure/chatbot/gpt_cornell/jobs.bucketed.csv", "no_nexus": false, "debug": false, "reproducibility": {"command_line": "python dynamic_test.py --slo_ms 242 --maxb 8 --bindir /tmp/build/nexus-bin Chihuahua1_bvdb.jpg /workdir/DynWork/multimodal_dataset_gpu/repeat-3/Multimodal_Real_Dataset/Azure/chatbot/gpt_cornell/jobs.bucketed.csv /workdir/DynWork/multimodal_dataset_gpu/repeat-3/Multimodal_Real_Dataset/Azure/chatbot/gpt_cornell/latencies.csv /workdir/DynWork/multimodal_dataset_gpu/repeat-3/Multimodal_Real_Dataset/Azure/chatbot/gpt_cornell/1.5_x_P99/nexus", "time": "Mon Apr 18 05:30:12 2022", "git_root": "/workdir/nexus", "git_url": "https://github.com/Aetf/nexus/tree/70828a1300a1881d39f0dbfa506d0e5de92853b3", "git_has_uncommitted_changes": true}}
JobId,Length,Admitted,Started,Finished,Latency,State,EName
0,156.29437958146852,0.0,6.644994020462036,173.97299402046204,167.328,done,
1,32.99428350582966,42.32002428585004,49.19707500934601,332.97007500934603,283.773,done,
2,32.27291366589303,84.64004857170008,92.16438001394272,333.1163800139427,240.952,done,
3,155.9465043153589,126.96007285755012,135.2420690059662,333.26206900596617,198.02,done,
4,31.917826019999104,169.28009714340016,264.34591603279114,500.2769160327912,235.931,done,
5,162.57139499227554,211.60012142925015,178.03867501020432,500.8506750102043,322.812,done,
6,155.68872854192497,253.92014571510023,221.01353400945663,500.78253400945664,279.769,done,
7,160.8137650238396,296.2401700009503,307.67218297719955,501.1161829771995,193.444,done,
8,30.96585342664121,338.5601942868003,350.76194697618484,658.5459469761848,307.784,done,
9,32.68240561940297,380.8802185726504,393.8365720510483,658.7955720510483,264.959,done,
10,154.93411123500056,423.2002428585004,436.8114860057831,659.0334860057831,222.222,done,
11,31.903343749240065,476.100273215813,491.00072199106216,819.0317219910621,328.031,done,
12,157.31670751344512,529.0003035731255,544.8282790184021,819.7192790184022,274.891,done,
13,156.01838500461668,581.9003339304381,598.5961620211601,819.5141620211601,220.918,done,
14,156.97459050487723,634.8003642877507,652.8800600171089,981.7590600171089,328.879,done,
15,159.5004762633916,687.7003946450632,868.5377820134163,1146.8967820134162,278.359,done,
16,156.7450024871351,740.6004250023757,707.0090500116348,982.1840500116348,275.175,done,
17,31.62161843481524,793.5004553596882,761.1611019968987,982.3431019968987,221.182,done,
18,31.5887715289375,846.4004857170008,815.2005569934845,1147.0045569934846,331.804,done,
19,159.77738060569976,881.6671726218759,1122.2553640007973,1313.6373640007973,191.382,done,
20,31.92557699697936,916.9338595267508,904.5225660204889,1147.387566020489,242.865,done,
21,158.60066121701362,952.200546431626,940.5397300124168,1147.486730012417,206.947,done,
22,31.705975767659417,987.467233336501,976.590750992298,1313.190750992298,336.6,done,
23,32.26544336238824,1022.733920241376,1012.9171980023384,1313.5471980023385,300.63,done,
24,159.6431022557859,1058.000607146251,1048.86592400074,1313.98592400074,265.12,done,
25,156.35483070569373,1093.267294051126,1084.7984229922297,1314.5814229922296,229.783,done,
26,31.928472175326192,1128.5339809560012,1159.2006300091743,1478.9356300091745,319.735,done,
27,156.52170761700708,1163.8006678608765,1195.2169870138168,1479.596987013817,284.38,done,
28,157.36533430560274,1199.0673547657511,1231.1650450229645,1479.2970450229645,248.132,done,
29,31.64151325865481,1234.3340416706262,1267.2259510159492,1479.7789510159491,212.553,done,
30,159.3870095744942,1269.6007285755013,1303.2990419864657,1479.6780419864656,176.379,done,
31,31.840408787451672,1297.8140780994013,1332.2831749916077,1640.0351749916076,307.752,done,
32,153.97441815340574,1326.0274276233013,1360.9782229661942,1639.5652229661941,278.587,done,
33,32.75141977795578,1354.2407771472017,1389.939858019352,1640.0208580193519,250.081,done,
