# {"pause": false, "bindir": "/tmp/build/nexus-bin", "no_nexus": false, "debug": false, "outdir": "/workdir/DynWork/multimodal_dataset_gpu/repeat-5/Dyn_CV/Azure/classification/rdinet_cifar/4_x_P99/nexus", "maxb": 8, "latencies": "/workdir/DynWork/multimodal_dataset_gpu/repeat-5/Dyn_CV/Azure/classification/rdinet_cifar/latencies.csv", "reqs": "/workdir/DynWork/multimodal_dataset_gpu/repeat-5/Dyn_CV/Azure/classification/rdinet_cifar/jobs.bucketed.csv", "slo_ms": 10670, "image": "Chihuahua1_bvdb.jpg", "reproducibility": {"command_line": "python dynamic_test.py --slo_ms 10670 --maxb 8 --bindir /tmp/build/nexus-bin Chihuahua1_bvdb.jpg /workdir/DynWork/multimodal_dataset_gpu/repeat-5/Dyn_CV/Azure/classification/rdinet_cifar/jobs.bucketed.csv /workdir/DynWork/multimodal_dataset_gpu/repeat-5/Dyn_CV/Azure/classification/rdinet_cifar/latencies.csv /workdir/DynWork/multimodal_dataset_gpu/repeat-5/Dyn_CV/Azure/classification/rdinet_cifar/4_x_P99/nexus", "time": "Mon Apr 18 02:29:26 2022", "git_root": "/workdir/nexus", "git_url": "https://github.com/Aetf/nexus/tree/70828a1300a1881d39f0dbfa506d0e5de92853b3", "git_has_uncommitted_changes": true}}
JobId,Length,Admitted,Started,Finished,Latency,State,EName
0,2641.0155296325684,0.0,3.274111926555633,2650.6291119265557,2647.355,done,
1,466.7294025421143,357.7425513267517,721.3667989373207,5314.590798937321,4593.224,done,
2,2643.674373626709,715.4851026535034,1079.8155029416084,5314.747502941608,4234.932,done,
3,353.49440574646,1073.2276539802551,362.13733500242233,5315.246335002423,4953.109,done,
4,462.7454280853272,1430.9702053070068,1438.3806409835815,5315.077640983582,3876.697,done,
5,2629.0998458862305,1788.7127566337583,1797.0864199995997,5315.3364199995995,3518.25,done,
6,2641.0155296325684,2146.4553079605103,2155.8103699684143,5315.629369968414,3159.819,done,
7,358.677625656128,2504.197859287262,2514.452365934849,5315.921365934849,2801.469,done,
8,574.2306709289551,2861.9404106140137,2873.131466925144,5894.8514669251435,3021.72,done,
9,436.9263648986816,3219.6829619407654,3231.400465965271,5895.145465965271,2663.745,done,
10,493.26419830322266,3577.425513267517,3590.7134919166565,5894.797491916656,2304.084,done,
11,575.2301216125488,4024.6037024259567,4038.5218799710274,5895.827879971028,1857.306,done,
12,493.8216209411621,4471.781891584396,4486.570466935635,5895.521466935635,1408.951,done,
13,437.5748634338379,4918.960080742836,4934.509444952011,5895.861444952011,961.352,done,
14,357.24902153015137,5366.138269901276,5382.560813963413,6253.090813963413,870.53,done,
15,285.8710289001465,5813.316459059715,5831.101453959942,6253.039453959942,421.938,done,
