BatchSize,InferenceLatency
1,19367.86471020896
2,4717.088572820649
3,5792.028031032532
4,6899.930841987953
5,9084.325319202617
6,10013.73677502852
7,10426.038913754746
8,11155.340532376431
9,12521.47081438452
10,13442.813247209415
11,14640.08169916924
12,15708.720539393835
13,16966.20196059812
14,17855.182708823122
15,19105.101553420536
16,20444.538090587594
17,21664.292661985382
18,23001.764541398734
19,23986.841270630248
20,24700.93204858713
21,26640.553293400444
22,25757.48303020373
23,28312.356642168015
24,29449.436832987703
25,30828.435510839336
26,32544.95486379601
27,33475.33763078973
28,34272.580470424145
29,35230.563431209885
30,37064.19724978041
31,37701.50973738637
32,39227.1081259707
33,39366.47559979465
34,40362.87954321597
35,41615.309568610974
36,43430.86821939796
37,44887.654812424444
38,46133.28280698042
39,47068.502678582445
40,47655.05540682934
41,49264.43898577709
42,50594.592094793916
43,50685.47031299677
44,52350.17559940461
45,53542.63393278234
46,54657.48705819715
47,55490.00373482704
48,56845.18507658504
49,57323.33010376897
50,58566.93016279023
51,60517.22398418933
52,41186.04033521842
53,41662.697541411035
54,42623.3203164069
55,43489.643948781304
56,41637.94098480139
57,44452.50274876598
58,45640.88945500553
59,45650.02495900262
60,45858.58130243141
61,47001.17629361339
62,47733.40856921859
63,49721.17596704047
64,50591.08149281237
65,50560.82849339582
66,51209.74794724025
67,52993.13328536227
68,53059.75717979018
69,53868.92312457785
70,55213.65984696895
71,55647.08107623737
72,56230.92566577252
73,57270.521165966056
74,56899.652260984294
75,59076.78001020104
76,58897.93070319574
77,60265.56085161865
78,61979.72658062354
79,61251.894443598576
80,62290.90583240613
81,64044.04642439913
82,64300.26756178122
83,64637.472701002844
84,64694.439126807265
85,66229.23176838085
86,65984.89764819387
87,67633.2971966127
88,67462.34838881064
89,69242.70481020212
90,69318.02245338913
91,70376.92868940067
92,70589.02954997029
93,72459.71858536359
94,73248.1093620183
95,74024.54362260178
96,75526.23813676182
97,75801.40854241326
98,76446.19909261819
99,76898.43540785369
100,76393.5578186065
