,InputLen,InferenceLatency,OutputLen
0,8,44.62313203839585,6
1,24,98.09575200779364,15
2,6,80.27350902557373,12
3,7,38.21945301024243,6
4,4,31.552960979752243,5
5,18,69.76571900304407,11
6,28,152.29028998874128,24
7,3,113.58628800371662,18
8,13,31.859196024015542,5
9,10,151.95717802271247,24
10,11,147.94026099843904,23
11,3,68.37207602802664,10
12,10,38.218887988477945,6
13,13,63.76455700956285,10
14,6,70.28180500492454,11
15,22,102.19732101541013,16
16,9,76.2372330063954,12
17,4,25.293422979302704,4
18,14,95.26664001168685,15
19,17,64.01780794840306,10
20,9,154.16532498784363,24
21,4,38.09931100113317,6
22,4,75.95956395380199,12
23,6,38.16818998893723,6
24,6,31.936469953507185,5
25,16,216.1806329968385,34
26,49,108.82858099648728,17
27,31,51.10720003722236,8
28,12,114.64751302264632,18
29,8,26.851934962905943,4
30,5,76.31191401742399,12
31,6,57.30389803647995,9
32,13,95.3908700030297,15
33,6,38.23633905267343,6
34,7,76.5177400317043,12
35,10,69.97152202529833,11
36,36,70.57633996009827,11
37,15,70.48640196444467,11
38,4,38.04109001066536,6
39,16,69.9848830117844,11
40,8,154.2076040059328,24
41,3,84.23039602348581,13
42,7,155.6418159743771,24
43,25,70.82055800128728,11
44,18,38.37341599864885,6
45,5,141.4688439690508,22
46,6,82.46904698899016,13
47,7,58.532357041258365,9
48,7,127.18008499359712,20
49,7,44.6271020337008,7
50,4,158.86307699838653,25
51,5,101.66520200436936,16
52,11,161.79160500178114,25
53,14,38.66404399741441,6
54,6,78.92607501707971,12
55,6,38.39882701868192,6
56,18,63.83042404195294,10
57,5,38.41464198194444,6
58,10,63.552002946380526,10
59,10,76.03778503835201,12
60,11,108.73121401527897,17
61,8,127.11508804932237,20
62,16,76.37506996979937,12
63,14,38.35888998582959,6
64,16,70.04251598846167,11
65,8,33.47512905020267,5
66,7,120.70879101520404,19
67,4,57.07854503998533,9
68,34,38.81362499669194,6
69,17,95.41723801521584,15
70,8,89.02290102560073,14
71,13,108.17887500161304,17
72,8,57.3033940163441,9
73,12,76.54835202265531,12
74,14,96.82264702860266,15
75,9,152.6171329896897,24
76,9,63.570566999260336,10
